Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jacoby Brissett,IND,21,36,174,1,2,4,25,40,56.9,6,36,0,,0,0,0,0,,0,0
Frank Gore,IND,0,0,0,0,0,0,0,0,,13,61,0,16,0,0,0,0,0,1,0
Marlon Mack,IND,0,0,0,0,0,0,0,0,,6,46,0,25,2,1,8,0,8,0,0
T.Y. Hilton,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,51,1,40,0,0
Donte Moncrief,IND,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,37,0,9,0,0
Jack Doyle,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,16,0,8,0,0
Josh Ferguson,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,16,0,8,0,0
Brandon Williams,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,8,0,0
Kamar Aiken,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Chester Rogers,IND,0,0,0,0,0,0,0,0,,1,-2,0,-2,6,4,35,0,15,0,0
Blake Bortles,JAX,26,35,309,2,0,1,8,32,119.8,3,27,0,,0,0,0,0,,1,0
Brad Nortman,JAX,1,1,29,0,0,0,0,29,118.7,0,0,0,,0,0,0,0,,0,0
Leonard Fournette,JAX,0,0,0,0,0,0,0,0,,20,57,1,24,4,3,22,0,11,0,0
Chris Ivory,JAX,0,0,0,0,0,0,0,0,,4,12,0,4,1,1,3,0,3,0,0
Marqise Lee,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,86,1,22,0,0
Dede Westbrook,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,78,0,22,0,0
Keelan Cole,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,49,1,32,0,0
Marcedes Lewis,JAX,0,0,0,0,0,0,0,,,0,0,0,,5,4,46,0,,0,0
James O'Shaughnessy,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,29,0,29,0,0
T.J. Yeldon,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,0,16,0,0
