Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Carson Wentz,PHI,29,45,348,1,1,3,21,51,86.2,6,30,0,,0,0,0,0,,2,1
Jay Ajayi,PHI,0,0,0,0,0,0,0,0,,9,35,0,11,4,3,11,0,11,0,0
LeGarrette Blount,PHI,0,0,0,0,0,0,0,0,,8,26,0,11,0,0,0,0,0,0,0
Corey Clement,PHI,0,0,0,0,0,0,0,0,,3,7,0,8,3,3,30,0,23,0,0
Nelson Agholor,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,141,1,51,0,0
Alshon Jeffery,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,61,0,23,0,0
Trey Burton,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,42,0,14,0,0
Torrey Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,29,0,11,0,0
Zach Ertz,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,24,0,14,0,0
Mack Hollins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Kenjon Barner,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Russell Wilson,SEA,20,31,227,3,0,2,18,47,118.6,6,31,0,,0,0,0,0,,0,0
Mike Davis,SEA,0,0,0,0,0,0,0,0,,16,64,0,22,4,4,37,0,23,0,0
Thomas Rawls,SEA,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
Eddie Lacy,SEA,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Doug Baldwin,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,84,0,47,0,0
Nick Vannett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,40,0,21,0,0
Jimmy Graham,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,26,1,11,0,0
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,1,16,0,0
Paul Richardson,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,8,0,7,0,0
J.D. McKissic,SEA,0,0,0,0,0,0,0,0,,1,-1,0,-1,3,1,15,1,15,0,0
