Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Quandre Diggs,DET,1,12,0,12,1,0.0,7,6,1,0,0,0,0,0,1
Darius Slay,DET,1,2,0,2,2,0.0,6,5,1,0,0,1,0,0,0
Jarrad Davis,DET,0,0,0,0,0,1.0,9,6,3,0,2,0,0,0,1
Ezekiel Ansah,DET,0,0,0,0,0,1.0,7,6,1,1,1,0,0,0,0
Jalen Reeves-Maybin,DET,0,0,0,0,1,0.5,6,4,2,0,1,0,0,0,0
D.J. Hayden,DET,0,0,0,0,0,0.5,2,1,1,0,1,1,0,0,0
Glover Quin,DET,0,0,0,0,0,0.0,9,8,1,0,0,0,0,0,1
Tahir Whitehead,DET,0,0,0,0,0,0.0,8,4,4,0,0,1,1,0,0
Akeem Spence,DET,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
Paul Worrilow,DET,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Anthony Zettel,DET,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
Miles Killebrew,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nevin Lawson,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jeremiah Ledbetter,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
A'Shawn Robinson,DET,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Teez Tabor,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cornelius Washington,DET,0,0,0,0,1,0.0,1,1,0,0,1,0,0,0,0
Charles Washington,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Robert McClain,TAM,1,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
Brent Grimes,TAM,1,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Lavonte David,TAM,0,0,0,0,0,0.0,13,12,1,0,0,1,0,0,1
Kwon Alexander,TAM,0,0,0,0,0,0.0,12,7,5,2,0,0,0,0,0
Ryan Smith,TAM,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Chris Conte,TAM,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
Kendell Beckwith,TAM,0,0,0,0,1,0.0,3,3,0,1,0,0,0,0,0
Robert Ayers,TAM,0,0,0,0,0,0.0,2,2,0,1,2,0,0,0,0
Devante Bond,TAM,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Will Clarke,TAM,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Justin Evans,TAM,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Chris Godwin,TAM,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Antony Auclair,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Chris Baker,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Javien Elliott,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ryan Russell,TAM,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Sealver Siliga,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Adarius Taylor,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
