Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jay Cutler,MIA,28,49,274,0,3,3,25,36,47.5,2,8,0,,0,0,0,0,,4,0
Kenyan Drake,MIA,0,0,0,0,0,0,0,0,,16,78,1,31,11,6,35,0,11,0,0
Jakeem Grant,MIA,0,0,0,0,0,0,0,0,,1,7,0,7,1,1,13,0,13,0,0
MarQueis Gray,MIA,0,0,0,0,0,0,0,0,,2,7,0,5,0,0,0,0,0,0,0
Jarvis Landry,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,13,10,99,0,17,0,0
DeVante Parker,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,89,0,36,0,0
Julius Thomas,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,15,0,11,0,0
Anthony Fasano,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,11,0,0
Kenny Stills,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,8,0,8,0,0
Tyrod Taylor,BUF,17,29,224,1,0,2,12,29,94.6,6,42,1,,0,0,0,0,,0,0
LeSean McCoy,BUF,0,0,0,0,0,0,0,0,,20,50,1,14,5,4,46,1,16,0,0
Travaris Cadet,BUF,0,0,0,0,0,0,0,0,,4,24,0,12,1,1,14,0,14,0,0
Charles Clay,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,68,0,29,0,0
Nick O'Leary,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,33,0,25,0,0
Brandon Tate,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,0,21,0,0
Kelvin Benjamin,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,0,13,0,0
Deonte Thompson,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,16,0,16,0,0
Patrick DiMarco,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Zay Jones,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
