Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Blake Bortles,JAX,15,34,158,0,2,2,12,23,33.7,1,9,0,,0,0,0,0,,0,0
Leonard Fournette,JAX,0,0,0,0,0,0,0,0,,19,69,0,9,5,4,67,0,23,1,0
T.J. Yeldon,JAX,0,0,0,0,0,0,0,0,,4,5,0,4,2,1,-2,0,-2,0,0
Allen Hurns,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,38,0,18,0,0
Keelan Cole,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,33,0,15,1,1
Marcedes Lewis,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,11,0,0
Dede Westbrook,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,9,1,9,0,9,0,0
James O'Shaughnessy,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Marcus Mariota,TEN,12,21,134,1,0,3,18,66,92.2,10,60,0,,0,0,0,0,,1,1
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,28,51,0,13,2,1,66,1,66,0,0
Taywan Taylor,TEN,0,0,0,0,0,0,0,0,,1,5,0,5,0,0,0,0,0,0,0
Delanie Walker,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,19,0,9,0,0
Eric Decker,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,18,0,8,0,0
Jonnu Smith,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,12,0,5,0,0
Luke Stocker,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Rishard Matthews,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Corey Davis,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
