Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Kevin Byard,TEN,3,60,0,28,3,0.0,4,2,2,1,0,0,0,0,0
Derrick Morgan,TEN,0,0,0,0,0,1.5,3,2,1,1,2,0,0,0,0
Brian Orakpo,TEN,0,0,0,0,0,0.5,4,1,3,0,4,0,0,0,0
Avery Williamson,TEN,0,0,0,0,0,0.0,14,6,8,1,0,0,0,0,0
Wesley Woodyard,TEN,0,0,0,0,0,0.0,8,8,0,0,0,0,0,0,0
DaQuan Jones,TEN,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
Jayon Brown,TEN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Jurrell Casey,TEN,0,0,0,0,0,0.0,4,1,3,0,1,0,0,0,0
Adoree' Jackson,TEN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Karl Klug,TEN,0,0,0,0,0,0.0,4,0,4,0,0,0,0,0,0
LeShaun Sims,TEN,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Da'Norris Searcy,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Logan Ryan,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
David Fluellen,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Nate Palmer,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Taywan Taylor,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brynden Trawick,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jamie Collins,CLE,0,0,0,0,1,1.0,5,3,2,1,1,0,0,0,0
Myles Garrett,CLE,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
Christian Kirksey,CLE,0,0,0,0,1,0.0,17,8,9,1,0,0,0,0,1
Joe Schobert,CLE,0,0,0,0,0,0.0,10,6,4,0,0,0,0,0,0
Derrick Kindred,CLE,0,0,0,0,0,0.0,7,6,1,1,0,0,0,0,0
Briean Boddy-Calhoun,CLE,0,0,0,0,2,0.0,4,3,1,0,0,0,0,0,0
Ibraheim Campbell,CLE,0,0,0,0,0,0.0,4,2,2,0,0,1,0,0,0
Emmanuel Ogbah,CLE,0,0,0,0,0,0.0,4,1,3,0,1,0,0,0,0
Trevon Coley,CLE,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Danny Shelton,CLE,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Jamar Taylor,CLE,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Caleb Brantley,CLE,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Mike Jordan,CLE,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
Sammie Coates,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Matthew Dayes,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jamie Meder,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Larry Ogunjobi,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Nate Orchard,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Danny Vitale,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
