Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Drew Stanton,ARI,15,30,201,2,1,0,0,52,80.0,4,2,0,,0,0,0,0,,0,0
Adrian Peterson,ARI,0,0,0,0,0,0,0,0,,37,159,0,25,4,2,8,0,6,1,1
Kerwynn Williams,ARI,0,0,0,0,0,0,0,0,,2,6,0,3,0,0,0,0,0,0,0
Larry Fitzgerald,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,70,0,23,0,0
John Brown,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,52,0,52,0,0
Jermaine Gresham,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,23,1,12,0,0
Troy Niklas,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,16,0,16,0,0
JJ Nelson,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,0,15,0,0
Andre Ellington,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,14,0,10,0,0
Jaron Brown,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,1,3,0,0
C.J. Beathard,SFO,24,51,294,0,1,5,28,55,57.1,3,16,1,,0,0,0,0,,0,0
Carlos Hyde,SFO,0,0,0,0,0,0,0,0,,12,41,0,11,11,9,84,0,18,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,1,5,0,5,2,1,5,0,5,1,1
Matt Breida,SFO,0,0,0,0,0,0,0,0,,1,1,0,1,4,2,18,0,11,0,0
Marquise Goodwin,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,68,0,55,0,0
Kendrick Bourne,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,39,0,25,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,27,0,14,0,0
Trent Taylor,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,0,12,0,0
Aldrick Robinson,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,18,0,11,0,0
Garrett Celek,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,13,0,13,0,0
