Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Robert Nkemdiche,ARI,0,0,0,0,0,2.5,7,6,1,4,3,0,0,0,0
Rodney Gunter,ARI,0,0,0,0,1,1.0,3,3,0,1,0,0,0,0,1
Chandler Jones,ARI,0,0,0,0,0,0.5,3,2,1,0,2,0,0,0,0
Gerald Hodges,ARI,0,0,0,0,0,0.0,10,7,3,0,0,0,0,0,0
Haason Reddick,ARI,0,0,0,0,0,0.0,8,3,5,0,0,0,0,0,0
Antoine Bethea,ARI,0,0,0,0,1,0.0,7,3,4,0,0,0,0,0,0
Leonard Johnson,ARI,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Tre Boston,ARI,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
David Amerson,ARI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Josh Bynes,ARI,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Patrick Peterson,ARI,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Zeke Turner,ARI,0,0,0,0,0,0.0,3,2,1,,,0,0,0,0
Chase Edmonds,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Markus Golden,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Bene Benwikere,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Derrick Coleman,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Corey Peters,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Olsen Pierre,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Benson Mayowa,ARI,0,0,0,0,0,0.0,0,0,0,0,2,1,0,0,0
Josh Rosen,ARI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Derwin James,LAC,1,3,0,3,2,0.0,7,5,2,0,0,0,0,0,0
Joey Bosa,LAC,0,0,0,0,0,2.0,5,3,2,2,2,0,0,0,0
Jatavis Brown,LAC,0,0,0,0,0,0.0,7,4,3,1,0,0,0,0,0
Michael Davis,LAC,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Isaac Rochell,LAC,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
Casey Hayward,LAC,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Tre'von Johnson,LAC,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Adrian Phillips,LAC,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Darius Philon,LAC,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Jahleel Addae,LAC,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Melvin Ingram,LAC,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Justin Jones,LAC,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
T.Y. McGill,LAC,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Uchenna Nwosu,LAC,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Geremy Davis,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Justin Jackson,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Desmond King,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Hayes Pullard,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Damion Square,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
