Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Patrick Mahomes,KAN,23,38,295,4,0,0,0,38,120.0,9,52,0,,0,0,0,0,,0,0
Spencer Ware,KAN,0,0,0,0,0,0,0,0,,14,47,1,17,1,1,5,0,5,0,0
Damien Williams,KAN,0,0,0,0,0,0,0,0,,5,38,0,17,2,2,7,0,6,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,2,37,0,33,6,1,13,0,13,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,13,12,168,2,28,1,1
Demetrius Harris,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,39,1,16,0,0
Demarcus Robinson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,38,0,38,0,0
Chris Conley,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,25,1,18,0,0
Gehrig Dieter,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Derek Carr,OAK,29,38,285,3,0,3,14,29,123.2,1,8,0,,0,0,0,0,,1,0
Jalen Richard,OAK,0,0,0,0,0,0,0,0,,6,95,0,30,4,3,31,0,15,1,1
Doug Martin,OAK,0,0,0,0,0,0,0,0,,18,61,1,17,2,2,6,0,4,1,1
DeAndre Washington,OAK,0,0,0,0,0,0,0,0,,3,7,0,7,0,0,0,0,0,1,1
Jared Cook,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,100,1,29,0,0
Jordy Nelson,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,11,10,97,0,24,0,0
Seth Roberts,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,25,0,16,0,0
Marcell Ateman,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,16,1,9,0,0
Dwayne Harris,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Lee Smith,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
