Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Matthew Stafford,DET,22,29,208,1,0,0,0,40,106.7,0,0,0,,0,0,0,0,,0,0
Theo Riddick,DET,0,0,0,0,0,0,0,0,,8,47,0,19,3,2,9,0,5,0,0
Zach Zenner,DET,0,0,0,0,0,0,0,0,,10,45,1,17,4,3,0,0,5,0,0
LeGarrette Blount,DET,0,0,0,0,0,0,0,0,,7,9,0,6,1,0,0,0,0,0,0
Brandon Powell,DET,0,0,0,0,0,0,0,0,,1,4,0,4,3,3,11,0,5,0,0
Kenny Golladay,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,146,0,40,0,0
Levine Toilolo,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,28,0,18,0,0
Andy Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,1,5,0,0
T.J. Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,5,0,5,0,0
Josh Allen,BUF,13,26,204,1,0,1,9,42,89.3,9,16,1,,0,0,0,0,,1,0
Keith Ford,BUF,0,0,0,0,0,0,0,0,,14,46,0,9,1,1,7,0,7,0,0
Marcus Murphy,BUF,0,0,0,0,0,0,0,0,,11,35,0,9,0,0,0,0,0,0,0
Patrick DiMarco,BUF,0,0,0,0,0,0,0,0,,1,9,0,9,0,0,0,0,0,0,0
Ray-Ray McCloud,BUF,0,0,0,0,0,0,0,0,,1,7,0,7,0,0,0,0,0,0,0
Isaiah McKenzie,BUF,0,0,0,0,0,0,0,0,,1,4,0,4,7,6,53,0,16,0,0
Robert Foster,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,108,1,42,0,0
Jason Croom,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,25,0,25,0,0
Zay Jones,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,11,0,11,0,0
Charles Clay,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Deonte Thompson,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
