Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Josh Rosen,ARI,18,34,149,1,0,6,36,24,74.3,0,0,0,,0,0,0,0,,2,2
David Johnson,ARI,0,0,0,0,0,0,0,,,17,62,0,,4,3,6,0,,0,0
Chase Edmonds,ARI,0,0,0,0,0,0,0,0,,6,14,0,4,2,2,4,0,8,0,0
Chad Williams,ARI,0,0,0,0,0,0,0,0,,1,9,0,9,11,5,51,0,15,0,0
Larry Fitzgerald,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,36,1,15,0,0
John Phillips,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,29,0,24,0,0
Trent Sherfield,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,23,0,18,0,0
Darrell Daniels,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Russell Wilson,SEA,12,21,152,1,1,6,43,37,75.9,2,-2,0,,0,0,0,0,,0,0
Chris Carson,SEA,0,0,0,0,0,0,0,0,,19,122,1,61,1,1,7,0,7,0,0
Mike Davis,SEA,0,0,0,0,0,0,0,0,,7,44,1,17,3,2,12,0,7,0,0
Ed Dickson,SEA,0,0,0,0,0,0,0,0,,1,9,0,9,0,0,0,0,0,0,0
Rashaad Penny,SEA,0,0,0,0,0,0,0,0,,4,6,0,3,0,0,0,0,0,0,0
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,1,3,0,3,2,2,66,1,37,0,0
Doug Baldwin,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,27,0,17,0,0
Nick Vannett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,17,0,11,0,0
David Moore,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,16,0,12,0,0
Jaron Brown,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
