Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Patrick Mahomes,KAN,23,28,326,6,0,1,4,40,154.8,5,18,0,,0,0,0,0,,1,0
Kareem Hunt,KAN,0,0,0,0,0,0,0,0,,18,75,0,16,1,1,5,1,5,0,0
Sammy Watkins,KAN,0,0,0,0,0,0,0,0,,1,31,0,31,7,6,100,0,40,0,0
Spencer Ware,KAN,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,109,2,31,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,90,1,36,0,0
Chris Conley,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,1,15,1,1
Demarcus Robinson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,1,3,0,0
Damien Williams,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Ben Roethlisberger,PIT,39,60,452,3,0,1,10,46,104.3,2,9,1,,0,0,0,0,,1,0
James Conner,PIT,0,0,0,0,0,0,0,,,8,17,1,,5,5,48,0,,0,0
Ryan Switzer,PIT,0,0,0,0,0,0,0,0,,2,5,0,6,2,1,14,0,14,0,0
Stevan Ridley,PIT,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,5,0,5,0,0
Jesse James,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,138,1,46,0,0
JuJu Smith-Schuster,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,19,13,121,1,21,0,0
Antonio Brown,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,17,9,67,0,19,0,0
Vance McDonald,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,26,0,13,0,0
Roosevelt Nix,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,19,0,19,0,0
James Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,14,1,14,0,0
