Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Nick Foles,PHI,35,48,334,1,0,3,13,50,98.8,3,8,0,,0,0,-5,0,,1,1
Corey Clement,PHI,0,0,0,0,0,0,0,0,,6,30,1,15,6,5,55,0,19,0,0
Wendell Smallwood,PHI,0,0,0,0,0,0,0,0,,7,28,0,8,1,1,2,0,2,1,1
Jay Ajayi,PHI,0,0,0,0,0,0,0,0,,7,23,1,20,1,1,4,0,4,0,0
Nelson Agholor,PHI,0,0,0,0,0,0,0,0,,1,2,0,2,12,8,88,1,50,0,0
Zach Ertz,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,13,11,94,0,34,0,0
Joshua Perkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,57,0,30,0,0
Kamar Aiken,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,39,0,18,0,0
Shelton Gibson,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Ryan Fitzpatrick,TAM,27,33,402,4,1,2,9,75,144.4,1,-1,0,,0,0,0,0,,0,0
Peyton Barber,TAM,0,0,0,0,0,0,0,0,,16,22,0,9,2,1,7,0,7,0,0
Jacquizz Rodgers,TAM,0,0,0,0,0,0,0,0,,5,13,0,7,3,3,23,0,13,0,0
Shaun Wilson,TAM,0,0,0,0,0,0,0,0,,1,9,0,9,0,0,0,0,0,0,0
DeSean Jackson,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,129,1,75,0,0
O.J. Howard,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,96,1,75,0,0
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,12,10,83,1,16,1,1
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,56,1,17,0,0
Adam Humphries,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
