Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Case Keenum,DEN,22,34,192,0,1,3,19,22,67.3,0,0,0,,0,0,0,0,,1,0
Royce Freeman,DEN,0,0,0,0,0,0,0,0,,13,53,1,16,1,1,5,0,5,0,0
Emmanuel Sanders,DEN,0,0,0,0,0,0,0,0,,1,35,1,35,8,5,38,0,9,0,0
Phillip Lindsay,DEN,0,0,0,0,0,0,0,0,,4,20,0,8,2,0,0,0,0,0,0
Devontae Booker,DEN,0,0,0,0,0,0,0,0,,5,10,0,4,7,5,34,0,9,0,0
Andy Janovich,DEN,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Demaryius Thomas,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,63,0,22,0,0
Courtland Sutton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,37,0,21,0,0
Jake Butt,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,8,0,5,0,0
Jeff Heuerman,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,7,0,4,0,0
Joe Flacco,BAL,25,40,277,1,0,2,12,44,91.4,4,2,0,,0,0,0,0,,1,0
Alex Collins,BAL,0,0,0,0,0,0,0,0,,18,68,1,14,4,3,6,0,8,0,0
Javorius Allen,BAL,0,0,0,0,0,0,0,0,,6,7,1,2,4,3,19,1,12,0,0
John Brown,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,86,0,44,0,0
Michael Crabtree,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,61,0,19,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,59,0,30,0,0
Willie Snead,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,39,0,17,0,0
Maxx Williams,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Nick Boyle,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Lamar Jackson,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
