Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Tom Brady,NWE,14,26,133,1,1,2,13,19,65.1,1,2,0,,0,0,0,0,,0,0
Sony Michel,NWE,0,0,0,0,0,0,0,0,,14,50,0,12,3,1,-1,0,-1,0,0
James White,NWE,0,0,0,0,0,0,0,0,,4,37,0,15,3,3,14,1,10,0,0
Rob Gronkowski,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,51,0,19,0,0
Chris Hogan,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,31,0,16,0,0
Rex Burkhead,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,26,0,19,0,0
Cordarrelle Patterson,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Phillip Dorsett,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0
Matthew Stafford,DET,27,36,262,2,1,1,7,33,101.9,1,10,0,,0,0,0,0,,0,0
Kerryon Johnson,DET,0,0,0,0,0,0,0,0,,16,101,0,15,3,2,9,0,5,0,0
LeGarrette Blount,DET,0,0,0,0,0,0,0,0,,16,48,0,13,2,2,17,0,9,1,0
Marvin Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,69,1,33,0,0
Golden Tate,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,69,0,25,0,0
Kenny Golladay,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,53,1,16,0,0
Theo Riddick,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,36,0,20,0,0
Luke Willson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,10,0,12,0,0
T.J. Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
Nick Bellore,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-5,0,-5,0,0
