Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Sam Darnold,NYJ,15,31,169,0,2,2,8,25,38.2,0,0,0,,0,0,0,0,,0,0
Bilal Powell,NYJ,0,0,0,0,0,0,0,0,,14,73,0,21,1,0,0,0,0,0,0
Isaiah Crowell,NYJ,0,0,0,0,0,0,0,0,,16,34,2,8,3,2,17,0,10,0,0
Quincy Enunwa,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,57,0,16,0,0
Jermaine Kearse,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,35,0,14,0,0
Terrelle Pryor,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,25,0,25,0,0
Robbie Chosen,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,17,1,1
Eric Tomlinson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,0
Jordan Leggett,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Chris Herndon,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,-1,0,7,0,0
Baker Mayfield,CLE,17,23,201,0,0,1,8,29,100.1,2,-2,0,,0,0,0,0,,1,0
Tyrod Taylor,CLE,4,14,19,0,0,3,22,12,39.6,4,22,0,,0,0,0,0,,0,0
Carlos Hyde,CLE,0,0,0,0,0,0,0,0,,23,98,2,22,2,2,5,0,5,0,0
Duke Johnson,CLE,0,0,0,0,0,0,0,0,,2,9,0,8,2,2,24,0,15,1,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,2,6,0,6,0,0,0,0,0,0,0
Jarvis Landry,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,14,8,103,0,29,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,36,0,19,0,0
Rashard Higgins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,32,0,19,0,0
Antonio Callaway,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,11,4,20,0,10,0,0
Orson Charles,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
