Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Derek Carr,OAK,27,39,345,1,2,3,20,66,83.8,2,-2,0,,0,0,0,0,,0,0
Marshawn Lynch,OAK,0,0,0,0,0,0,0,0,,19,64,1,9,4,3,22,0,14,0,0
Doug Martin,OAK,0,0,0,0,0,0,0,0,,9,43,0,15,0,0,0,0,0,0,0
Martavis Bryant,OAK,0,0,0,0,0,0,0,0,,1,4,0,4,5,2,30,0,19,0,0
Jordy Nelson,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,173,1,66,1,0
Jalen Richard,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,59,0,12,0,0
Jared Cook,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,31,0,13,0,0
Amari Cooper,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,17,0,9,0,0
Dwayne Harris,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,7,0,0
Keith Smith,OAK,0,0,0,0,0,0,0,0,,1,0,0,0,1,1,2,0,2,0,0
Ryan Tannehill,MIA,17,23,289,3,0,1,9,74,155.3,3,26,0,,0,0,0,0,,0,0
Albert Wilson,MIA,1,1,52,1,0,0,0,52,158.3,0,0,0,,2,2,74,1,,0,0
Frank Gore,MIA,0,0,0,0,0,0,0,0,,6,12,0,6,0,0,0,0,0,0,0
Kenyan Drake,MIA,0,0,0,0,0,0,0,0,,5,3,0,3,4,2,7,0,6,0,0
Jakeem Grant,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,70,2,52,0,0
Kenny Stills,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,61,1,34,0,0
Danny Amendola,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,42,0,15,0,0
DeVante Parker,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,40,0,36,0,0
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,31,0,19,0,0
A.J. Derby,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0
