Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Case Keenum,DEN,35,51,377,2,1,4,33,42,95.0,0,0,0,,0,0,0,0,,2,0
Phillip Lindsay,DEN,0,0,0,0,0,0,0,0,,12,61,0,29,4,3,20,0,10,0,0
Royce Freeman,DEN,0,0,0,0,0,0,0,0,,5,31,0,24,4,3,16,0,7,0,0
Demaryius Thomas,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,105,1,42,0,0
Emmanuel Sanders,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,14,9,72,0,13,0,0
Devontae Booker,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,59,0,22,0,0
DaeSean Hamilton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,44,0,24,0,0
Matt LaCosse,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,11,0,0
Jeff Heuerman,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,18,0,14,0,0
Courtland Sutton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,18,1,10,0,0
Tim Patrick,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Brian Parker,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Sam Darnold,NYJ,10,22,198,3,1,1,9,76,98.1,3,5,0,,0,0,0,0,,0,0
Isaiah Crowell,NYJ,0,0,0,0,0,0,0,0,,15,219,1,77,1,1,12,0,12,0,0
Bilal Powell,NYJ,0,0,0,0,0,0,0,0,,20,99,0,38,0,0,0,0,0,1,1
Robbie Chosen,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,123,2,76,0,0
Terrelle Pryor,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,1,20,0,0
Eric Tomlinson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,12,0,0
Jermaine Kearse,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,14,0,14,0,0
Jordan Leggett,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Andre Roberts,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
Quincy Enunwa,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0
