Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Marcus Mariota,TEN,14,26,129,0,1,2,8,23,51.6,2,10,0,,0,0,0,0,,1,0
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,11,56,0,14,1,0,0,0,0,0,0
Dion Lewis,TEN,0,0,0,0,0,0,0,0,,12,34,0,15,4,3,14,0,10,1,1
Corey Davis,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,49,0,23,0,0
Tajae Sharpe,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,30,0,13,0,0
Taywan Taylor,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,30,0,19,1,1
Darius Jennings,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Nick Williams,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Luke Stocker,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jonnu Smith,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Josh Allen,BUF,10,19,82,0,1,1,3,13,42.0,4,19,1,,0,0,0,0,,0,0
Corey Bojorquez,BUF,0,1,0,0,0,0,0,0,39.6,0,0,0,,0,0,0,0,,0,0
LeSean McCoy,BUF,0,0,0,0,0,0,0,0,,24,85,0,16,3,2,23,0,13,0,0
Chris Ivory,BUF,0,0,0,0,0,0,0,0,,14,43,0,9,0,0,0,0,0,0,0
Zay Jones,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,20,0,12,0,0
Charles Clay,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Kelvin Benjamin,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,11,0,11,0,0
Jason Croom,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,7,0,0
Taiwan Jones,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Andre Holmes,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Stephen Hauschka,BUF,0,0,0,0,0,0,0,,,0,0,0,,1,0,0,0,,0,0
Ray-Ray McCloud,BUF,0,0,0,0,0,0,0,0,,1,-3,0,-3,1,1,7,0,7,0,0
