Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Josh Allen,BUF,10,17,84,0,0,2,16,39,71.7,4,20,0,,0,0,0,0,,0,0
Nathan Peterman,BUF,6,12,61,1,2,0,0,20,53.1,1,2,0,,0,0,0,0,,0,0
LeSean McCoy,BUF,0,0,0,0,0,0,0,0,,16,73,0,14,5,3,21,0,22,0,0
Chris Ivory,BUF,0,0,0,0,0,0,0,0,,6,5,0,6,1,1,4,0,4,0,0
Kelvin Benjamin,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,43,0,39,0,0
Zay Jones,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,35,1,16,0,0
Charles Clay,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,20,0,10,0,0
Andre Holmes,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,20,0,20,0,0
Ray-Ray McCloud,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,2,1
Logan Thomas,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
Deshaun Watson,HOU,15,25,177,1,2,7,35,24,61.6,2,2,0,,0,0,0,0,,3,1
DeAndre Hopkins,HOU,0,1,0,0,0,0,0,0,39.6,0,0,0,,6,5,63,1,,0,0
Lamar Miller,HOU,0,0,0,0,0,0,0,0,,15,46,0,11,3,2,25,0,16,0,0
Alfred Blue,HOU,0,0,0,0,0,0,0,0,,7,26,0,17,3,2,17,0,14,0,0
Will Fuller,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,33,0,17,0,0
Keke Coutee,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,33,0,22,0,0
Jordan Akins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Ryan Griffin,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0
