Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Alex Smith,WAS,20,32,178,1,0,0,0,25,87.8,3,13,0,,0,0,0,0,,0,0
Adrian Peterson,WAS,0,0,0,0,0,0,0,0,,26,149,1,64,1,1,7,1,7,1,1
Chris Thompson,WAS,0,0,0,0,0,0,0,0,,3,13,0,10,3,2,9,0,6,0,0
Paul Richardson,WAS,0,0,0,0,0,0,0,0,,1,7,0,7,5,2,34,0,25,0,0
Josh Doctson,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,49,0,15,0,0
Jordan Reed,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,38,0,7,0,0
Vernon Davis,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,21,0,21,0,0
Maurice Harris,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,0,16,0,0
Eli Manning,NYG,30,47,316,1,2,7,50,44,72.7,0,0,0,,0,0,0,0,,0,0
Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,13,38,0,9,10,9,73,0,24,0,0
Odell Beckham Jr.,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,136,0,44,0,0
Bennie Fowler,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,48,0,21,0,0
Sterling Shepard,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,34,0,14,0,0
Evan Engram,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,25,1,11,0,0
Rhett Ellison,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Wayne Gallman,NYG,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
