Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
T.J. Watt,PIT,0,0,0,0,1,1.0,4,2,2,1,2,0,0,0,0
Javon Hargrave,PIT,0,0,0,0,0,0.0,9,6,3,2,0,0,0,0,0
Devin Bush Jr.,PIT,0,0,0,0,0,0.0,6,2,4,1,0,0,0,0,0
Bud Dupree,PIT,0,0,0,0,0,0.0,6,4,2,2,0,0,0,0,0
Cameron Heyward,PIT,0,0,0,0,0,0.0,6,5,1,1,1,0,0,0,0
Vince Williams,PIT,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Tyson Alualu,PIT,0,0,0,0,0,0.0,4,2,2,2,0,0,0,0,0
Mike Hilton,PIT,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
Steven Nelson,PIT,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Mark Barron,PIT,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
Terrell Edmunds,PIT,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Joe Haden,PIT,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Minkah Fitzpatrick,PIT,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Daniel McCullers,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Olasunkanmi Adeniyi,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tyler Matakevich,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Robert Spillane,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cameron Sutton,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Matt Feiler,PIT,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Joe Schobert,CLE,2,20,0,20,4,1.0,10,7,3,2,2,0,0,0,0
Juston Burris,CLE,1,27,0,27,1,1.0,5,4,1,0,1,0,0,0,1
Morgan Burnett,CLE,1,43,0,43,2,0.0,5,3,2,1,0,0,0,0,0
Chad Thomas,CLE,0,0,0,0,1,1.0,3,3,0,1,1,0,0,0,0
Larry Ogunjobi,CLE,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
Greedy Williams,CLE,0,0,0,0,0,0.0,7,6,1,1,0,0,0,0,0
Mack Wilson,CLE,0,0,0,0,1,0.0,5,1,4,0,0,0,0,0,0
Denzel Ward,CLE,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
Sheldrick Redwine,CLE,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Sheldon Richardson,CLE,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
Eli Ankou,CLE,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
T.J. Carrie,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tae Davis,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Myles Garrett,CLE,0,0,0,0,0,0.0,1,1,0,0,3,0,0,0,0
D'Ernest Johnson,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Damarious Randall,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Chris Smith,CLE,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Adarius Taylor,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
