Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Derek Carr,OAK,20,30,222,1,2,2,12,28,71.8,3,7,0,6,0,0,0,0,0,1,0
Josh Jacobs,OAK,0,0,0,0,0,0,0,0,,17,104,0,35,0,0,0,0,0,0,0
DeAndre Washington,OAK,0,0,0,0,0,0,0,0,,2,5,0,5,3,3,44,0,28,0,0
Alec Ingold,OAK,0,0,0,0,0,0,0,0,,1,4,0,4,2,2,13,0,14,0,0
Jalen Richard,OAK,0,0,0,0,0,0,0,0,,1,2,0,2,2,1,6,0,6,0,0
Darren Waller,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,100,0,24,0,0
Foster Moreau,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Zay Jones,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,14,0,8,0,0
Keelan Doss,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Derek Carrier,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,1,6,0,0
Tyrell Williams,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,9,0,9,0,0
Trevor Davis,OAK,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,1
Patrick Mahomes,KAN,15,29,175,1,0,1,12,47,81.8,3,25,1,13,0,0,0,0,0,0,0
Darwin Thompson,KAN,0,0,0,0,0,0,0,0,,11,44,1,9,0,0,0,0,0,0,0
Darrel Williams,KAN,0,0,0,0,0,0,0,0,,6,13,0,15,2,1,3,1,3,0,0
LeSean McCoy,KAN,0,0,0,0,0,0,0,0,,5,10,1,6,3,3,20,0,9,0,0
Mecole Hardman,KAN,0,0,0,0,0,0,0,0,,1,9,0,9,0,0,0,0,0,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,90,0,47,0,0
Anthony Sherman,KAN,0,0,0,0,0,0,0,0,,1,0,0,0,1,1,7,0,7,0,0
Sammy Watkins,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Blake Bell,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Matt Moore,KAN,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,1,-4,0,-4,8,5,55,0,17,0,0
