Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Baker Mayfield,CLE,30,43,247,2,1,1,6,26,90.0,2,11,0,7,0,0,0,0,0,0,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,17,127,1,33,3,3,21,0,17,0,0
Kareem Hunt,CLE,0,0,0,0,0,0,0,0,,4,14,0,6,9,8,62,0,16,0,0
Odell Beckham Jr.,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,13,8,66,0,17,0,0
Damion Ratley,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,33,0,21,0,0
Ricky Seals-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,29,2,26,1,1
Jarvis Landry,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,23,0,10,0,0
Demetrius Harris,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0
KhaDarel Hodge,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Kyler Murray,ARI,19,25,219,1,1,0,0,51,98.6,8,56,0,35,0,0,0,0,0,0,0
Kenyan Drake,ARI,0,0,0,0,0,0,0,0,,22,137,4,21,1,1,9,0,9,0,0
Christian Kirk,ARI,0,0,0,0,0,0,0,0,,1,28,0,28,5,4,33,0,15,0,0
David Johnson,ARI,0,0,0,0,0,0,0,0,,3,6,0,5,0,0,0,0,0,0,0
Damiere Byrd,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,86,0,51,0,0
Larry Fitzgerald,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,42,0,16,0,0
Charles Clay,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,18,0,18,0,0
Pharoh Cooper,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0
Dan Arnold,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,1,6,0,0
Maxx Williams,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Andy Isabella,ARI,0,0,0,0,0,0,0,0,,1,-1,0,-1,1,1,4,0,4,0,0
