Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jameis Winston,TAM,28,42,458,4,1,2,12,51,124.9,2,4,0,2,0,0,0,0,0,0,0
Ronald Jones II,TAM,0,0,0,0,0,0,0,0,,11,23,0,6,3,1,26,0,26,0,0
Peyton Barber,TAM,0,0,0,0,0,0,0,0,,10,17,0,4,2,2,23,0,14,0,0
Breshad Perriman,TAM,0,0,0,0,0,0,0,0,,1,3,0,3,6,5,113,3,34,0,0
Dare Ogunbowale,TAM,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,13,0,13,0,0
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,121,0,51,0,0
Scott Miller,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,49,1,33,0,0
O.J. Howard,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,46,0,25,0,0
Cameron Brate,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,33,0,16,0,0
Justin Watson,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,12,0,0
Tanner Hudson,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
Ishmael Hyman,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Ryan Griffin,TAM,0,0,0,0,0,0,0,0,,4,-1,0,0,0,0,0,0,0,0,0
David Blough,DET,24,43,260,0,2,2,10,48,54.4,5,19,0,9,0,0,0,0,0,1,0
Wes Hills,DET,0,0,0,0,0,0,0,0,,10,21,2,15,2,2,1,0,2,0,0
Ty Johnson,DET,0,0,0,0,0,0,0,0,,2,3,0,2,5,4,17,0,8,1,1
J.D. McKissic,DET,0,0,0,0,0,0,0,0,,1,2,0,2,3,2,7,0,4,0,0
Danny Amendola,DET,0,0,0,0,0,0,0,0,,0,0,0,0,13,8,102,0,46,0,0
Chris Lacy,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,48,0,48,0,0
Kenny Golladay,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,44,0,26,0,0
Jesse James,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,31,0,13,0,0
Isaac Nauta,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0
Logan Thomas,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0
