Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Mason Rudolph,PIT,14,27,174,2,1,2,14,76,81.4,4,15,0,7,0,0,0,0,0,1,0
James Conner,PIT,0,0,0,0,0,0,0,0,,13,43,0,10,4,4,14,0,5,1,1
Johnny Holton,PIT,0,0,0,0,0,0,0,0,,1,9,0,9,0,0,0,0,0,0,0
Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,1,6,0,6,6,3,52,1,39,0,0
Benny Snell Jr.,PIT,0,0,0,0,0,0,0,0,,3,6,0,4,0,0,0,0,0,0,0
JuJu Smith-Schuster,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,81,1,76,0,0
James Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,14,0,8,0,0
Vance McDonald,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0
Xavier Grimble,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Jimmy Garoppolo,SFO,23,32,277,1,2,1,9,27,82.4,6,3,0,2,0,0,0,0,0,2,1
Raheem Mostert,SFO,0,0,0,0,0,0,0,0,,12,79,0,19,1,0,0,0,0,1,1
Matt Breida,SFO,0,0,0,0,0,0,0,0,,14,68,0,10,3,2,20,0,15,0,0
Jeff Wilson,SFO,0,0,0,0,0,0,0,0,,8,18,2,5,1,0,0,0,0,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,57,0,12,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,51,0,27,0,0
Deebo Samuel,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,44,0,20,0,0
Marquise Goodwin,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,41,0,25,0,0
Richie James,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,16,1,1
Kendrick Bourne,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,22,0,22,0,0
Dante Pettis,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,20,1,12,0,0
