Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Chandler Jones,ARI,0,0,0,0,0,1.0,4,1,3,0,1,0,0,0,0
Byron Murphy,ARI,0,0,0,0,1,0.0,9,8,1,0,0,0,0,0,0
Jalen Thompson,ARI,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Jonathan Bullard,ARI,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0
Jordan Hicks,ARI,0,0,0,0,1,0.0,6,3,3,1,1,0,0,0,0
Haason Reddick,ARI,0,0,0,0,1,0.0,6,2,4,0,0,0,0,0,0
Budda Baker,ARI,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Tramaine Brock,ARI,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Kevin Peterson,ARI,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Deionte Thompson,ARI,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
Chris Banjo,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Cassius Marsh,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Corey Peters,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Pharoh Cooper,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Rodney Gunter,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Chris Jones,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Zach Kerr,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brooks Reed,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Trent Sherfield,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Sam Hubbard,CIN,0,0,0,0,0,1.0,5,2,3,1,1,0,0,0,0
Nick Vigil,CIN,0,0,0,0,0,0.0,13,6,7,0,0,0,0,0,0
Shawn Williams,CIN,0,0,0,0,0,0.0,13,11,2,0,0,0,0,0,0
Dre Kirkpatrick,CIN,0,0,0,0,2,0.0,8,6,2,0,0,0,0,0,0
Jessie Bates III,CIN,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Preston Brown,CIN,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Geno Atkins,CIN,0,0,0,0,0,0.0,4,1,3,0,2,0,0,0,0
Carlos Dunlap,CIN,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
Ryan Glasgow,CIN,0,0,0,0,0,0.0,4,0,4,0,0,0,0,0,0
William Jackson III,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Carl Lawson,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Germaine Pratt,CIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
B.W. Webb,CIN,0,0,0,0,2,0.0,2,2,0,0,0,0,0,0,0
Andrew Billings,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Andrew Brown,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cethan Carter,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Clayton Fejedelem,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tony McRae,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Samaje Perine,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brandon Wilson,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Andy Dalton,CIN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
