Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Dak Prescott,DAL,22,35,257,3,1,0,0,45,101.7,3,12,0,11,0,0,0,0,0,1,0
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,23,139,0,19,0,0,0,0,0,0,0
Tony Pollard,DAL,0,0,0,0,0,0,0,0,,3,21,0,10,3,1,9,0,9,0,0
Amari Cooper,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,80,1,45,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,58,0,12,0,0
Blake Jarwin,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,42,1,42,0,0
Randall Cobb,DAL,0,0,0,0,0,0,0,0,,1,0,0,0,8,6,35,0,10,1,1
Michael Gallup,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,33,1,18,0,0
Daniel Jones,NYG,26,41,210,1,1,5,39,65,74.2,6,54,0,16,0,0,0,0,0,2,2
Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,14,28,0,8,8,6,67,0,65,0,0
Golden Tate,NYG,0,0,0,0,0,0,0,0,,1,16,0,16,6,6,42,0,17,0,0
Evan Engram,NYG,0,0,0,0,0,0,0,0,,1,2,0,2,8,6,48,0,15,0,0
Bennie Fowler,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,22,0,11,0,0
Rhett Ellison,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,17,0,9,0,0
Cody Latimer,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,8,1,7,0,0
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,6,0,6,0,0
Wayne Gallman,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
