Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Ryan Fitzpatrick,MIA,24,39,257,2,0,4,16,25,97.9,3,10,0,12,0,0,0,0,0,1,0
DeAndre Washington,MIA,0,0,0,0,0,0,0,0,,13,49,0,16,5,2,11,0,6,0,0
Matt Breida,MIA,0,0,0,0,0,0,0,0,,8,36,0,12,2,2,17,0,13,1,1
Patrick Laird,MIA,0,0,0,0,0,0,0,0,,1,9,0,9,0,0,0,0,0,1,1
DeVante Parker,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,14,8,119,0,25,1,0
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,35,1,22,0,0
Mack Hollins,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,19,0,12,0,0
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,19,0,12,0,0
Jakeem Grant,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,10,0,0
Malcolm Perry,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Adam Shaheen,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,1,7,0,0
Antonio Callaway,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Lynn Bowden Jr.,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Sam Darnold,NYJ,16,27,197,0,2,3,24,37,51.0,2,9,0,5,0,0,0,0,0,0,0
Frank Gore,NYJ,0,0,0,0,0,0,0,0,,18,74,0,17,3,3,12,0,6,0,0
Ty Johnson,NYJ,0,0,0,0,0,0,0,0,,2,3,0,2,2,1,1,0,1,0,0
Josh Adams,NYJ,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Breshad Perriman,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,79,0,37,0,0
Denzel Mims,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,67,0,30,0,0
Jamison Crowder,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,31,0,16,0,0
Jeff Smith,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
