Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Josh Allen,BUF,24,34,288,2,0,1,14,49,115.8,3,-1,1,1,0,0,0,0,0,0,0
Devin Singletary,BUF,0,0,0,0,0,0,0,0,,18,56,1,11,6,5,21,0,7,0,0
Isaiah McKenzie,BUF,0,0,0,0,0,0,0,0,,2,11,0,14,1,1,18,0,18,0,0
Stefon Diggs,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,115,0,49,0,0
John Brown,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,42,0,14,0,0
Cole Beasley,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,32,1,14,0,0
Gabriel Davis,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,26,1,26,0,0
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,16,0,9,0,0
Tyler Kroft,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,12,0,12,0,0
T.J. Yeldon,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Andre Roberts,BUF,0,0,0,0,0,0,0,0,,1,-3,0,-3,1,1,6,0,6,0,0
Derek Carr,LVR,32,44,311,2,0,2,14,37,107.3,4,20,0,10,0,0,0,0,0,1,1
Josh Jacobs,LVR,0,0,0,0,0,0,0,0,,15,48,0,16,4,3,25,0,10,0,0
Theo Riddick,LVR,0,0,0,0,0,0,0,0,,2,13,0,11,0,0,0,0,0,0,0
Jalen Richard,LVR,0,0,0,0,0,0,0,0,,1,6,0,6,4,2,10,0,5,0,0
Darren Waller,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,88,0,22,1,1
Hunter Renfrow,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,57,0,37,1,0
Nelson Agholor,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,44,1,14,0,0
Zay Jones,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,32,0,16,0,0
Jason Witten,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,1,15,0,0
Foster Moreau,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Alec Ingold,LVR,0,0,0,0,0,0,0,0,,1,-1,0,-1,2,2,29,0,17,0,0
