Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Taylor Rapp,LAR,0,0,0,0,0,1.0,10,7,3,1,1,0,0,0,0
Troy Reeder,LAR,0,0,0,0,0,0.0,11,3,8,1,0,0,0,0,0
Aaron Donald,LAR,0,0,0,0,0,0.0,8,2,6,2,0,0,0,0,0
Jordan Fuller,LAR,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
A'Shawn Robinson,LAR,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
Marquise Copeland,LAR,0,0,0,0,0,0.0,7,3,4,1,0,0,0,0,0
Ernest Jones,LAR,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Greg Gaines,LAR,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Jalen Ramsey,LAR,0,0,0,0,2,0.0,4,3,1,2,0,0,0,0,0
Leonard Floyd,LAR,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
David Long,LAR,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Von Miller,LAR,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Ogbonnia Okoronkwo,LAR,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Nick Scott,LAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Darious Williams,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Odell Beckham Jr.,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Terrell Burgess,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jake Gervase,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Terrell Lewis,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jimmie Ward,SFO,2,27,1,27,2,0.0,2,2,0,0,0,0,0,0,0
Arden Key,SFO,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Nick Bosa,SFO,0,0,0,0,1,1.0,1,1,0,1,2,0,0,0,0
Azeez Al-Shaair,SFO,0,0,0,0,0,0.0,8,6,2,2,0,0,0,0,0
Fred Warner,SFO,0,0,0,0,1,0.0,8,5,3,0,0,0,0,0,0
K'Waun Williams,SFO,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
Emmanuel Moseley,SFO,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
Talanoa Hufanga,SFO,0,0,0,0,1,0.0,3,3,0,0,1,0,0,0,0
Josh Norman,SFO,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Trenton Cannon,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Marcell Harris,SFO,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
D.J. Jones,SFO,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Trey Sermon,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Kevin Givens,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dontae Johnson,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kentavius Street,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
