Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jalen Hurts,PHI,16,23,178,2,1,2,8,36,103.2,13,55,0,31,0,0,0,0,0,1,0
Jordan Howard,PHI,0,0,0,0,0,0,0,0,,12,83,0,25,0,0,0,0,0,0,0
Boston Scott,PHI,0,0,0,0,0,0,0,0,,11,81,0,23,2,2,24,0,16,0,0
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,2,5,0,5,1,1,9,0,9,0,0
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,66,2,36,0,0
Quez Watkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,33,0,18,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,28,0,24,0,0
Jack Stoll,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,6,0,4,0,0
Jalen Reagor,PHI,0,0,0,0,0,0,0,0,,1,-8,0,-8,2,1,12,0,12,0,0
Teddy Bridgewater,DEN,22,36,226,0,0,1,14,64,79.2,0,0,0,0,0,0,0,0,0,0,0
Javonte Williams,DEN,0,0,0,0,0,0,0,0,,8,48,0,20,3,2,1,0,10,0,0
Melvin Gordon,DEN,0,0,0,0,0,0,0,0,,9,45,1,15,4,1,-2,0,-2,1,1
Jerry Jeudy,DEN,0,0,0,0,0,0,0,0,,1,3,0,3,9,6,48,0,15,1,0
Albert Okwuegbunam,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,77,0,64,0,0
Noah Fant,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,59,0,15,0,0
Courtland Sutton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,29,0,26,0,0
Tim Patrick,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,14,0,7,0,0
