Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Harrison Smith,MIN,1,10,0,10,2,0.0,11,6,5,0,0,0,0,0,0
D.J. Wonnum,MIN,0,0,0,0,0,1.0,4,2,2,1,1,0,0,0,0
Armon Watts,MIN,0,0,0,0,0,1.0,3,1,2,1,3,0,0,0,0
Anthony Barr,MIN,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Nick Vigil,MIN,0,0,0,0,0,0.0,8,4,4,1,0,0,0,0,0
Eric Kendricks,MIN,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Xavier Woods,MIN,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0
James Lynch,MIN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Patrick Peterson,MIN,0,0,0,0,0,0.0,5,5,0,1,0,0,0,0,0
Sheldon Richardson,MIN,0,0,0,0,0,0.0,5,1,4,0,2,0,0,0,0
Bashaud Breeland,MIN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Blake Lynch,MIN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
T.J. Smith,MIN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Patrick Jones II,MIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Josh Metellus,MIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Tashawn Bower,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kris Boyd,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ezra Cleveland,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tyler Conklin,MIN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Azeez Al-Shaair,SFO,1,24,0,24,1,0.0,8,7,1,0,0,1,0,0,0
Nick Bosa,SFO,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
D.J. Jones,SFO,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Emmanuel Moseley,SFO,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Jaquiski Tartt,SFO,0,0,0,0,0,0.0,4,4,0,0,1,0,0,0,0
Jimmie Ward,SFO,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Demetrius Flannigan-Fowles,SFO,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Dre Greenlaw,SFO,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Josh Norman,SFO,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,1
Fred Warner,SFO,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Arik Armstead,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Samson Ebukam,SFO,0,0,0,0,1,0.0,2,2,0,0,1,0,0,0,0
Kevin Givens,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,1
Talanoa Hufanga,SFO,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Arden Key,SFO,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Tom Compton,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Deommodore Lenoir,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Charles Omenihu,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Mitch Wishnowsky,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Charlie Woerner,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
K'Waun Williams,SFO,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
