Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Matt Judon,NWE,0,0,0,0,0,1.0,3,3,0,1,2,0,0,0,0
Daniel Ekuale,NWE,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Davon Godchaux,NWE,0,0,0,0,0,0.0,10,6,4,0,0,0,0,0,0
Ja'Whaun Bentley,NWE,0,0,0,0,0,0.0,8,3,5,0,0,0,0,0,0
Dont'a Hightower,NWE,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
Myles Bryant,NWE,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
Adrian Phillips,NWE,0,0,0,0,2,0.0,5,5,0,0,0,0,0,0,0
Lawrence Guy,NWE,0,0,0,0,0,0.0,4,3,1,0,0,1,0,0,0
J.C. Jackson,NWE,0,0,0,0,1,0.0,2,2,0,1,0,0,0,0,0
Devin McCourty,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Christian Barmore,NWE,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Brandon Bolden,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cody Davis,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Carl Davis,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Matthew Slater,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kyle Van Noy,NWE,0,0,0,0,1,0.0,1,1,0,0,1,0,0,0,0
Deatrich Wise Jr.,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Damien Harris,NWE,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Jordan Poyer,BUF,0,0,0,0,0,0.0,9,6,3,1,0,0,0,0,0
Harrison Phillips,BUF,0,0,0,0,0,0.0,8,5,3,1,0,0,0,0,0
Tremaine Edmunds,BUF,0,0,0,0,0,0.0,7,3,4,2,0,0,0,0,0
Tyrel Dodson,BUF,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Dane Jackson,BUF,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Matt Milano,BUF,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0
Gregory Rousseau,BUF,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0
Micah Hyde,BUF,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
Ed Oliver,BUF,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
Levi Wallace,BUF,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Eli Ankou,BUF,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Boogie Basham,BUF,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
A.J. Epenesa,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jerry Hughes,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Taron Johnson,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Siran Neal,BUF,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
