Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Taysom Hill,NOR,13,27,154,0,0,2,3,40,66.0,11,33,0,9,0,0,0,0,0,0,0
Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,11,18,0,8,6,2,13,0,7,0,0
Mark Ingram,NOR,0,0,0,0,0,0,0,0,,9,10,0,6,2,2,8,0,5,0,0
Marquez Callaway,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,112,0,40,0,0
Tre'Quan Smith,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,17,0,9,1,0
Adam Trautman,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
Nick Vannett,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ty Montgomery,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Tom Brady,TAM,26,48,214,0,1,4,30,23,57.1,1,2,0,2,0,0,0,0,0,1,1
Ronald Jones II,TAM,0,0,0,0,0,0,0,0,,8,63,0,30,2,2,8,0,5,0,0
Leonard Fournette,TAM,0,0,0,0,0,0,0,0,,9,34,0,8,7,7,33,0,8,0,0
Ke'Shawn Vaughn,TAM,0,0,0,0,0,0,0,0,,3,19,0,17,2,0,0,0,0,0,0
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,49,0,23,0,0
Tyler Johnson,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,41,0,18,0,0
Rob Gronkowski,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,11,2,29,0,19,0,0
Cameron Brate,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,16,0,0
Scott Miller,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,13,0,0
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
O.J. Howard,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jaelon Darden,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
