Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Kareem Jackson,DEN,1,7,0,7,1,0.0,6,4,2,0,0,0,0,0,0
Patrick Surtain II,DEN,1,0,0,0,1,0.0,4,2,2,0,0,0,0,0,0
Von Miller,DEN,0,0,0,0,0,1.0,2,2,0,2,1,0,0,0,0
Justin Strnad,DEN,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
Alexander Johnson,DEN,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
Josey Jewell,DEN,0,0,0,0,0,0.0,4,3,1,2,0,0,0,0,0
Bryce Callahan,DEN,0,0,0,0,2,0.0,3,2,1,0,0,0,0,0,0
Mike Purcell,DEN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Kyle Fuller,DEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Shelby Harris,DEN,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0
Malik Reed,DEN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Bradley Chubb,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dre'Mont Jones,DEN,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Justin Simmons,DEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Shamar Stephen,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Caden Sterns,DEN,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
Andrew Wingard,JAX,0,0,0,0,0,1.0,8,5,3,1,1,0,0,0,0
Josh Hines-Allen,JAX,0,0,0,0,0,1.0,3,1,2,1,1,0,0,0,0
Adam Gotsis,JAX,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,0
Myles Jack,JAX,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Rayshawn Jenkins,JAX,0,0,0,0,1,0.0,6,6,0,0,0,0,0,0,0
Damien Wilson,JAX,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Shaquill Griffin,JAX,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
DaVon Hamilton,JAX,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Chris Claybrooks,JAX,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
C.J. Henderson,JAX,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
Shaquille Quarterman,JAX,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
Tyson Campbell,JAX,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
K'Lavon Chaisson,JAX,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Rudy Ford,JAX,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Taven Bryan,JAX,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Roy Robertson-Harris,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Jihad Ward,JAX,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0
Malcom Brown,JAX,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Andre Cisco,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ross Matiscik,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dawuane Smoot,JAX,0,0,0,0,0,0.0,1,0,1,0,2,0,0,0,0
