Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Nick Bosa,SFO,0,0,0,0,0,1.0,5,4,1,2,2,0,0,0,0
D.J. Jones,SFO,0,0,0,0,0,1.0,4,4,0,1,1,0,0,0,0
Fred Warner,SFO,0,0,0,0,0,0.0,9,7,2,0,0,0,0,0,0
Jaquiski Tartt,SFO,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
Jimmie Ward,SFO,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
Josh Norman,SFO,0,0,0,0,1,0.0,6,3,3,0,0,0,0,0,0
Emmanuel Moseley,SFO,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Azeez Al-Shaair,SFO,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Marcell Harris,SFO,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0
Dontae Johnson,SFO,0,0,0,0,0,0.0,3,3,0,0,0,1,0,0,1
Arik Armstead,SFO,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Samson Ebukam,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Trenton Cannon,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Maurice Hurst Jr.,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Arden Key,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kentavius Street,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Budda Baker,ARI,1,17,0,17,1,0.0,6,5,1,0,0,0,0,0,0
Zach Allen,ARI,0,0,0,0,0,1.0,5,4,1,2,1,0,0,0,0
Isaiah Simmons,ARI,0,0,0,0,1,0.5,3,2,1,0,1,0,0,0,0
Tanner Vallejo,ARI,0,0,0,0,0,0.5,2,0,2,0,1,0,0,0,0
Antonio Hamilton,ARI,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Jordan Hicks,ARI,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Jalen Thompson,ARI,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
Zaven Collins,ARI,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Markus Golden,ARI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
J.J. Watt,ARI,0,0,0,0,1,0.0,3,3,0,2,4,0,0,0,0
Jace Whittaker,ARI,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
Robert Alford,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Rashard Lawrence,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Zeke Turner,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Eno Benjamin,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Devon Kennard,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jonathan Ward,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Chase Edmonds,ARI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Leki Fotu,ARI,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0
Andy Lee,ARI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Kyler Murray,ARI,0,0,0,0,0,0.0,0,0,0,0,0,1,26,0,0
