Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Ben Roethlisberger,PIT,22,34,266,1,0,2,11,50,98.4,1,0,0,0,0,0,0,0,0,0,0
Chris Boswell,PIT,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0
Najee Harris,PIT,0,0,0,0,0,0,0,0,,26,91,1,11,3,3,29,0,20,0,0
Chase Claypool,PIT,0,0,0,0,0,0,0,0,,2,16,0,16,5,4,45,0,16,0,0
Ray-Ray McCloud,PIT,0,0,0,0,0,0,0,0,,1,10,0,10,0,0,0,0,0,1,0
Anthony McFarland Jr.,PIT,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,13,6,98,0,50,0,0
Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,44,1,22,0,0
Zach Gentry,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,39,0,24,0,0
Benny Snell Jr.,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
James Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Kalen Ballage,PIT,0,0,0,0,0,0,0,0,,1,-3,0,-3,0,0,0,0,0,0,0
Baker Mayfield,CLE,20,31,225,0,0,4,15,24,86.1,1,5,0,5,0,0,0,0,0,0,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,16,61,0,21,1,1,8,0,8,0,0
D'Ernest Johnson,CLE,0,0,0,0,0,0,0,0,,4,22,1,11,3,1,7,0,7,0,0
Jarvis Landry,CLE,0,0,0,0,0,0,0,0,,1,5,0,5,10,5,65,0,19,1,1
Demetric Felton,CLE,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,14,0,14,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,39,0,24,0,0
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,33,0,21,0,0
Rashard Higgins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,27,0,16,0,0
Austin Hooper,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,26,0,8,0,0
Odell Beckham Jr.,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
