Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jordan Love,GNB,19,34,190,1,1,1,11,35,69.5,5,23,0,8,0,0,0,0,0,1,0
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,12,53,0,9,2,0,0,0,0,0,0
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,8,46,0,15,4,4,44,0,21,0,0
Randall Cobb,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,50,0,35,0,0
Davante Adams,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,14,6,42,0,14,0,0
Allen Lazard,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,1,20,0,0
Marquez Valdes-Scantling,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,16,0,0
Josiah Deguara,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,11,0,0
Dominique Dafney,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Marcedes Lewis,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-1,0,-1,0,0
Patrick Mahomes,KAN,20,37,166,1,0,1,6,25,74.8,2,-2,0,-1,0,0,0,0,0,0,0
Darrel Williams,KAN,0,0,0,0,0,0,0,0,,19,70,0,11,4,3,7,0,7,0,0
Derrick Gore,KAN,0,0,0,0,0,0,0,0,,3,13,0,7,1,1,6,0,6,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,68,1,25,0,0
Jerick McKinnon,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,26,0,14,0,0
Mecole Hardman,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,20,0,9,1,0
Demarcus Robinson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Josh Gordon,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Blake Bell,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,1,-4,0,-4,11,4,37,0,13,0,0
