Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Kirk Cousins,MIN,17,28,187,2,0,0,0,50,104.3,1,1,1,1,0,0,0,0,0,0,0
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,17,110,0,66,3,3,12,0,6,0,0
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,1,11,0,11,5,3,69,1,50,0,0
Kene Nwangwu,MIN,0,0,0,0,0,0,0,0,,1,9,0,9,0,0,0,0,0,0,0
Tyler Conklin,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,45,0,18,0,0
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,27,0,27,0,0
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,20,0,20,0,0
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,6,1,5,0,0
Luke Stocker,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,4,0,0,2,1,1,3,0,3,0,0
Dede Westbrook,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Lamar Jackson,BAL,27,41,266,3,2,3,13,22,88.1,21,120,0,12,0,0,0,0,0,0,0
Devonta Freeman,BAL,0,0,0,0,0,0,0,0,,13,79,0,19,3,2,4,1,5,0,0
Le'Veon Bell,BAL,0,0,0,0,0,0,0,0,,11,48,1,12,0,0,0,0,0,0,0
Marquise Brown,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,116,0,22,0,0
Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,52,0,15,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,44,0,13,0,0
Patrick Ricard,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,35,1,22,0,0
Devin Duvernay,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,8,1,5,0,0
Eric Tomlinson,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
