Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Deshaun Watson,CLE,26,42,276,1,1,2,3,28,79.1,6,33,0,9,0,0,0,0,0,0,0
Jacoby Brissett,CLE,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,14,34,0,13,3,3,20,0,12,0,0
Kareem Hunt,CLE,0,0,0,0,0,0,0,0,,4,6,0,4,4,2,6,0,4,0,0
Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,114,0,28,0,0
Amari Cooper,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,42,0,24,0,0
David Bell,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,27,0,13,0,0
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,1,-2,0,-2,9,7,59,1,14,0,0
Joe Burrow,CIN,18,33,239,2,1,1,3,45,85.3,6,10,0,8,0,0,0,0,0,0,0
Ja'Marr Chase,CIN,0,0,0,0,0,1,9,0,,1,6,0,6,15,10,119,1,20,0,0
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,14,96,0,40,2,2,10,0,6,0,0
Samaje Perine,CIN,0,0,0,0,0,0,0,0,,4,22,1,14,5,1,2,0,2,0,0
Trayveon Williams,CIN,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,6,0,6,0,0
Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,58,1,45,0,0
Trent Taylor,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,34,0,34,0,0
Mitchell Wilcox,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
