Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Budda Baker,ARI,1,1,0,1,2,0.0,7,5,2,0,0,0,0,0,0
J.J. Watt,ARI,0,0,0,0,1,3.0,5,4,1,3,3,0,0,0,1
Markus Golden,ARI,0,0,0,0,0,1.0,7,5,2,1,2,0,0,0,0
Jonathan Ledbetter,ARI,0,0,0,0,0,1.0,6,2,4,1,1,0,0,0,0
Trysten Hill,ARI,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Myjai Sanders,ARI,0,0,0,0,0,1.0,1,1,0,0,1,1,0,0,0
Jalen Thompson,ARI,0,0,0,0,0,0.0,9,3,6,0,0,0,0,0,0
Zaven Collins,ARI,0,0,0,0,0,0.0,8,2,6,1,0,0,0,0,0
Isaiah Simmons,ARI,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Tanner Vallejo,ARI,0,0,0,0,0,0.0,6,1,5,0,1,0,0,0,0
Christian Matthew,ARI,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0
Jace Whittaker,ARI,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Ben Niemann,ARI,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Victor Dimukeje,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Max Garcia,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Manny Jones,ARI,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Charles Washington,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Chris Banjo,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Leki Fotu,ARI,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Dennis Gardeck,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nate Hairston,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Zeke Turner,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Justin Simmons,DEN,2,43,0,23,2,0.0,4,2,2,0,0,0,0,0,0
Patrick Surtain II,DEN,1,-3,0,-3,1,0.0,6,4,2,0,0,0,0,0,0
DeShawn Williams,DEN,0,0,0,0,0,2.5,5,2,3,2,4,0,0,0,0
Baron Browning,DEN,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0
Josey Jewell,DEN,0,0,0,0,0,0.0,10,5,5,0,0,0,0,0,0
Alex Singleton,DEN,0,0,0,0,0,0.0,10,6,4,0,1,0,0,0,0
Kareem Jackson,DEN,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
K'Waun Williams,DEN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Jonathon Cooper,DEN,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Damarri Mathis,DEN,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
Mike Purcell,DEN,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0
Jonathan Harris,DEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
D.J. Jones,DEN,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
Eyioma Uwazurike,DEN,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
Nik Bonitto,DEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Cameron Fleming,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Randy Gregory,DEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Matt Henningsen,DEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
P.J. Locke,DEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Eric Saubert,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jalen Virgil,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brett Rypien,DEN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Montrell Washington,DEN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
