Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Josh Allen,BUF,15,26,172,2,2,1,0,24,71.3,6,41,1,15,0,0,0,0,0,1,0
Devin Singletary,BUF,0,0,0,0,0,0,0,0,,12,106,1,33,3,2,19,0,10,0,0
James Cook,BUF,0,0,0,0,0,0,0,0,,11,99,1,27,2,1,9,0,9,0,0
Isaiah McKenzie,BUF,0,0,0,0,0,0,0,0,,1,6,0,6,2,0,0,0,0,0,0
Nyheim Hines,BUF,0,0,0,0,0,0,0,0,,1,2,0,2,2,1,9,0,9,1,0
Gabriel Davis,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,45,1,19,1,1
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,38,1,24,0,0
Stefon Diggs,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,15,0,0
Reggie Gilliam,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Cole Beasley,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Khalil Shakir,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Justin Fields,CHI,15,23,119,1,0,2,15,44,92.5,7,11,0,7,0,0,0,0,0,0,0
Nathan Peterman,CHI,3,5,25,0,1,0,0,14,33.3,0,0,0,0,0,0,0,0,0,0,0
David Montgomery,CHI,0,0,0,0,0,0,0,0,,16,62,0,28,4,4,22,0,10,1,1
Khalil Herbert,CHI,0,0,0,0,0,0,0,0,,6,7,0,5,3,2,-4,0,-2,0,0
Velus Jones Jr.,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,52,0,44,0,0
Byron Pringle,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,34,0,20,0,0
Cole Kmet,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,27,0,7,0,0
Dante Pettis,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,11,1,6,0,0
Ryan Griffin,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
