Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Justin Herbert,LAC,22,34,228,1,0,1,1,38,93.7,5,13,0,12,0,0,0,0,0,0,0
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,16,173,1,71,4,4,26,1,12,0,0
Joshua Kelley,LAC,0,0,0,0,0,0,0,0,,10,49,1,16,2,2,33,0,22,0,0
Zander Horvath,LAC,0,0,0,0,0,0,0,0,,2,3,0,3,0,0,0,0,0,0,0
Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,13,10,134,0,38,0,0
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,24,0,9,0,0
DeAndre Carter,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,7,0,0
Gerald Everett,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,2,0,2,0,0
Donald Parham,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Sony Michel,LAC,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Tre' McKitty,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Jacoby Brissett,CLE,21,34,230,1,1,0,0,38,79.3,3,32,0,20,0,0,0,0,0,0,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,17,134,2,41,1,0,0,0,0,0,0
Kareem Hunt,CLE,0,0,0,0,0,0,0,0,,11,47,1,17,3,3,10,0,6,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,88,0,38,0,0
Amari Cooper,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,76,1,20,0,0
Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,50,0,19,0,0
David Bell,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Anthony Schwartz,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
