Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jalen Hurts,PHI,26,36,239,0,0,2,21,31,89.9,15,61,2,17,0,0,0,0,0,0,0
Miles Sanders,PHI,0,0,0,0,0,0,0,0,,15,58,0,12,3,2,6,0,8,0,0
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,3,20,0,11,0,0,0,0,0,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,95,0,31,0,0
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,11,10,87,0,22,0,0
A.J. Brown,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,32,0,15,0,0
Quez Watkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,19,0,7,0,0
Kyler Murray,ARI,28,42,250,1,1,1,11,28,80.5,4,42,0,15,0,0,0,0,0,0,0
James Conner,ARI,0,0,0,0,0,0,0,0,,9,55,0,17,1,1,8,0,8,0,0
Eno Benjamin,ARI,0,0,0,0,0,0,0,0,,8,25,1,11,4,3,28,0,16,0,0
Darrel Williams,ARI,0,0,0,0,0,0,0,0,,3,9,0,7,0,0,0,0,0,0,0
Marquise Brown,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,78,1,25,0,0
Zach Ertz,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,48,0,11,0,0
A.J. Green,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,20,0,9,0,0
Rondale Moore,ARI,0,0,0,0,0,0,0,0,,2,-7,0,-2,8,7,68,0,28,0,0
