Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Zach Wilson,NYJ,10,18,110,0,0,2,11,41,73.8,5,1,0,4,0,0,0,0,0,0,0
Breece Hall,NYJ,0,0,0,0,0,0,0,0,,20,116,1,34,2,2,5,0,3,0,0
Michael Carter,NYJ,0,0,0,0,0,0,0,0,,6,41,0,25,1,1,6,0,6,0,0
Braxton Berrios,NYJ,0,0,0,0,0,0,0,0,,1,20,1,20,1,1,6,0,6,0,0
Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,,1,1,0,1,2,1,16,0,16,0,0
Corey Davis,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,52,0,41,0,0
C.J. Uzomah,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,14,0,0
Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,8,0,8,0,0
Aaron Rodgers,GNB,26,41,246,1,0,4,36,35,88.1,1,0,0,0,0,0,0,0,0,2,1
Jordan Love,GNB,2,4,8,0,0,0,0,8,56.2,0,0,0,0,0,0,0,0,0,0,0
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,10,41,0,19,6,4,11,0,7,0,0
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,9,19,0,7,4,3,25,0,14,0,0
Robert Tonyan,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,12,10,90,0,16,0,0
Allen Lazard,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,76,1,35,0,0
Romeo Doubs,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,21,0,8,0,0
Amari Rodgers,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
Josiah Deguara,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Randall Cobb,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Juwann Winfree,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
