Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Andy Dalton,NOR,30,47,361,4,3,0,0,64,89.1,4,21,0,14,0,0,0,0,0,0,0
Taysom Hill,NOR,2,2,48,0,0,0,0,41,118.7,3,9,0,3,1,1,3,1,3,0,0
Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,11,49,0,17,9,7,56,0,12,0,0
Mark Ingram,NOR,0,0,0,0,0,0,0,0,,4,6,0,5,3,3,16,0,11,0,0
Chris Olave,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,14,7,106,0,41,0,0
Kevin White,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,64,0,64,0,0
Tre'Quan Smith,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,59,0,20,0,0
Rashid Shaheed,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,53,1,53,0,0
Juwan Johnson,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,32,2,17,0,0
Marquez Callaway,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,20,0,12,0,0
Kyler Murray,ARI,20,29,204,1,0,2,15,31,100.4,7,30,0,17,0,0,0,0,0,1,0
Eno Benjamin,ARI,0,0,0,0,0,0,0,0,,12,92,1,45,5,4,21,0,16,0,0
Keaontay Ingram,ARI,0,0,0,0,0,0,0,0,,9,14,1,11,2,2,23,0,24,0,0
Greg Dortch,ARI,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,5,1,5,0,0
DeAndre Hopkins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,14,10,103,0,18,1,0
Rondale Moore,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,31,0,31,0,0
Zach Ertz,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,21,0,15,0,0
Robbie Chosen,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
