Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Julian Love,NYG,0,0,0,0,0,0.0,9,5,4,0,0,1,0,0,0
Fabian Moreau,NYG,0,0,0,0,2,0.0,9,7,2,0,0,0,0,0,0
Adoree' Jackson,NYG,0,0,0,0,2,0.0,7,6,1,0,0,0,0,0,0
Tae Crowder,NYG,0,0,0,0,1,0.0,6,3,3,0,0,0,0,0,0
Jaylon Smith,NYG,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Xavier McKinney,NYG,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,1
Kayvon Thibodeaux,NYG,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
Darnay Holmes,NYG,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0
Dexter Lawrence,NYG,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Jihad Ward,NYG,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Ryder Anderson,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dane Belton,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cam Brown,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Landon Collins,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Justin Ellis,NYG,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Quincy Roche,NYG,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Nick Williams,NYG,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
Leonard Williams,NYG,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Travon Walker,JAX,0,0,0,0,0,1.0,5,2,3,1,1,0,0,0,0
Foyesade Oluokun,JAX,0,0,0,0,0,0.0,12,6,6,1,0,0,0,0,0
Andre Cisco,JAX,0,0,0,0,1,0.0,8,7,1,0,0,0,0,0,0
Darious Williams,JAX,0,0,0,0,3,0.0,8,5,3,0,0,0,0,0,0
Tyson Campbell,JAX,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
DaVon Hamilton,JAX,0,0,0,0,0,0.0,7,3,4,1,0,0,0,0,0
Devin Lloyd,JAX,0,0,0,0,0,0.0,7,2,5,0,0,0,0,0,0
Rayshawn Jenkins,JAX,0,0,0,0,2,0.0,5,3,2,0,0,0,0,0,0
Folorunso Fatukasi,JAX,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Tre Herndon,JAX,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
Josh Hines-Allen,JAX,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Arden Key,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Roy Robertson-Harris,JAX,0,0,0,0,0,0.0,2,2,0,1,1,0,0,0,0
Chris Claybrooks,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
De'Shaan Dixon,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Corey Peters,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Dawuane Smoot,JAX,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
Andrew Wingard,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
