Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Zaven Collins,ARI,1,1,0,1,1,0.0,2,0,2,0,0,1,0,0,0
Dennis Gardeck,ARI,0,0,0,0,0,2.0,4,3,1,1,3,0,0,0,1
Jonathan Ledbetter,ARI,0,0,0,0,0,1.0,6,3,3,0,1,0,0,0,0
Carlos Watkins,ARI,0,0,0,0,0,1.0,5,3,2,1,1,0,0,0,0
Victor Dimukeje,ARI,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,1
Leki Fotu,ARI,0,0,0,0,0,1.0,1,1,0,1,0,0,0,0,0
Kyzir White,ARI,0,0,0,0,0,0.0,9,5,4,1,0,0,0,0,0
K'Von Wallace,ARI,0,0,0,0,2,0.0,7,3,4,0,0,0,0,0,0
Marco Wilson,ARI,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
Budda Baker,ARI,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Jalen Thompson,ARI,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Kei'Trel Clark,ARI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Jesse Luketa,ARI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Krys Barnes,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
L.J. Collier,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Kevin Strong,ARI,0,0,0,0,1,0.0,2,2,0,1,0,0,0,0,0
Kris Boyd,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Antonio Hamilton,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Christian Matthew,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
BJ Ojulari,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Zach Pascal,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cameron Thomas,ARI,0,0,0,0,1,0.0,1,0,1,0,0,1,2,1,0
Josh Woods,ARI,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
Joshua Dobbs,ARI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Montez Sweat,WAS,0,0,0,0,0,1.5,5,4,1,2,1,0,0,0,2
Jonathan Allen,WAS,0,0,0,0,0,1.0,4,3,1,2,3,0,0,0,0
Abdullah Anderson,WAS,0,0,0,0,0,0.5,2,1,1,1,1,1,0,0,0
Kamren Curl,WAS,0,0,0,0,1,0.0,10,6,4,1,0,0,0,0,0
Jamin Davis,WAS,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,0
Kendall Fuller,WAS,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Cody Barton,WAS,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Darrick Forrest,WAS,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Benjamin St-Juste,WAS,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Percy Butler,WAS,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
Emmanuel Forbes,WAS,0,0,0,0,1,0.0,3,3,0,1,0,0,0,0,0
Jeremy Reaves,WAS,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
James Smith-Williams,WAS,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0
Casey Toohill,WAS,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Daron Payne,WAS,0,0,0,0,0,0.0,2,2,0,2,0,1,0,0,0
Dyami Brown,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Christian Holmes,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
David Mayo,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
John Ridgeway,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
