Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jordan Love,GNB,21,40,289,2,2,1,6,46,71.8,2,11,0,8,0,0,0,0,0,0,0
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,9,70,0,40,3,1,11,0,11,0,0
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,13,35,0,9,6,4,19,0,12,0,0
Jayden Reed,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,84,1,46,1,0
Luke Musgrave,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,64,0,36,0,0
Dontayvion Wicks,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,51,0,32,1,0
Romeo Doubs,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,31,1,20,0,0
Christian Watson,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,23,0,14,0,0
Tucker Kraft,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,6,0,6,0,0
Kenny Pickett,PIT,14,23,126,0,0,1,7,28,75.6,4,16,0,11,0,0,0,0,0,0,0
Jaylen Warren,PIT,0,0,0,0,0,0,0,0,,15,101,1,20,4,2,9,0,6,0,0
Najee Harris,PIT,0,0,0,0,0,0,0,0,,16,82,1,24,4,3,14,0,8,0,0
Calvin Austin,PIT,0,0,0,0,0,0,0,0,,1,6,0,6,1,1,3,0,3,0,0
George Pickens,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,45,0,28,0,0
Connor Heyward,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,32,0,13,0,0
Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,17,0,17,0,0
Darnell Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
