Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Demario Davis,NOR,0,0,0,0,0,1.0,9,6,3,1,1,0,0,0,0
Paulson Adebo,NOR,0,0,0,0,2,0.0,9,5,4,0,0,0,0,0,0
Tyrann Mathieu,NOR,0,0,0,0,0,0.0,8,7,1,0,0,0,0,0,0
Marcus Maye,NOR,0,0,0,0,0,0.0,6,6,0,1,0,0,0,0,0
Pete Werner,NOR,0,0,0,0,0,0.0,6,3,3,1,0,0,0,0,0
Malcolm Roach,NOR,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
Alontae Taylor,NOR,0,0,0,0,2,0.0,5,4,1,1,0,0,0,0,0
Carl Granderson,NOR,0,0,0,0,0,0.0,4,1,3,0,1,0,0,0,0
Marshon Lattimore,NOR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Nathan Shepherd,NOR,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Zack Baun,NOR,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Cameron Jordan,NOR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Khalen Saunders,NOR,0,0,0,0,0,0.0,2,2,0,1,1,0,0,0,0
Bryan Bresee,NOR,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
D'Marco Jackson,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Lonnie Johnson Jr.,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tanoh Kpassagnon,NOR,0,0,0,0,1,0.0,1,1,0,0,1,0,0,0,0
Kyle Phillips,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Nephi Sewell,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cesar Ruiz,NOR,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Byron Murphy,MIN,1,4,0,4,3,0.0,3,3,0,1,0,0,0,0,0
Mekhi Blackmon,MIN,1,0,0,0,2,0.0,2,2,0,0,0,0,0,0,0
D.J. Wonnum,MIN,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
Jonathan Bullard,MIN,0,0,0,0,0,1.0,2,1,1,0,1,0,0,0,1
Danielle Hunter,MIN,0,0,0,0,0,1.0,2,2,0,1,3,0,0,0,0
Jordan Hicks,MIN,0,0,0,0,0,0.0,7,3,4,1,0,0,0,0,0
Josh Metellus,MIN,0,0,0,0,0,0.0,7,5,2,1,2,0,0,0,0
Ivan Pace,MIN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Harrison Phillips,MIN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Harrison Smith,MIN,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Troy Dye,MIN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Camryn Bynum,MIN,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
Theo Jackson,MIN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Akayleb Evans,MIN,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
Patrick Jones II,MIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Andrew Booth,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
NaJee Thompson,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
