Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Jonathan Allen,WAS,0,0,0,0,0,1.0,4,4,0,0,2,0,0,0,0
Jamin Davis,WAS,0,0,0,0,0,0.0,11,6,5,2,0,0,0,0,0
Kamren Curl,WAS,0,0,0,0,0,0.0,10,7,3,0,1,0,0,0,0
Percy Butler,WAS,0,0,0,0,1,0.0,9,6,3,1,0,0,0,0,0
David Mayo,WAS,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Benjamin St-Juste,WAS,0,0,0,0,2,0.0,7,5,2,0,0,0,0,0,0
Kendall Fuller,WAS,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Daron Payne,WAS,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Quan Martin,WAS,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Danny Johnson,WAS,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Casey Toohill,WAS,0,0,0,0,1,0.0,2,1,1,1,1,0,0,0,0
John Bates,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Christian Holmes,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Khaleke Hudson,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Andre Jones,WAS,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
Phidarian Mathis,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
John Ridgeway,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
James Smith-Williams,WAS,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Boye Mafe,SEA,0,0,0,0,1,1.0,5,4,1,1,1,0,0,0,0
Leonard Williams,SEA,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Bobby Wagner,SEA,0,0,0,0,2,0.5,10,6,4,0,1,0,0,0,0
Dre'Mont Jones,SEA,0,0,0,0,0,0.5,2,1,1,0,2,0,0,0,0
Julian Love,SEA,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
Jamal Adams,SEA,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
Tre Brown,SEA,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Devon Witherspoon,SEA,0,0,0,0,3,0.0,5,4,1,0,0,0,0,0,1
Nick Bellore,SEA,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Jordyn Brooks,SEA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Derick Hall,SEA,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Riq Woolen,SEA,0,0,0,0,1,0.0,3,1,2,0,0,1,0,0,0
Quandre Diggs,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Jerrick Reed,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Frank Clark,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jarran Reed,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jon Rhattigan,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brady Russell,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Darrell Taylor,SEA,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
