Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Kyler Murray,ARI,25,31,232,3,1,1,4,36,116.7,5,24,0,14,0,0,0,0,0,1,0
James Conner,ARI,0,0,0,0,0,0,0,0,,26,128,1,22,1,1,5,1,5,0,0
Michael Carter,ARI,0,0,0,0,0,0,0,0,,7,61,0,21,1,1,6,1,6,0,0
Rondale Moore,ARI,0,0,0,0,0,0,0,0,,2,8,0,6,4,3,26,0,12,0,0
Greg Dortch,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,82,0,36,0,0
Trey McBride,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,48,0,26,0,0
Michael Wilson,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,35,1,13,0,0
Elijah Higgins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,0,14,0,0
Emari Demercado,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,9,0,9,0,0
Jalen Hurts,PHI,18,23,167,3,1,0,0,23,118.4,8,25,0,13,0,0,0,0,0,0,0
Kenneth Gainwell,PHI,1,1,17,0,0,0,0,17,118.7,2,5,0,3,4,4,15,0,6,0,0
D'Andre Swift,PHI,0,0,0,0,0,0,0,0,,13,61,0,16,1,1,5,0,5,0,0
A.J. Brown,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,53,0,18,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,47,1,23,0,0
Julio Jones,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,34,2,22,0,0
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,30,0,17,0,0
