Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Josh Allen,BUF,30,38,359,2,2,3,14,46,101.6,15,67,0,15,0,0,0,0,0,1,1
James Cook,BUF,0,0,0,0,0,0,0,0,,13,36,0,14,4,3,16,0,6,0,0
Leonard Fournette,BUF,0,0,0,0,0,0,0,0,,7,20,0,5,0,0,0,0,0,0,0
Ty Johnson,BUF,0,0,0,0,0,0,0,0,,1,5,0,5,1,1,9,0,9,0,0
Khalil Shakir,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,105,0,46,0,0
Stefon Diggs,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,87,0,36,0,0
Dalton Kincaid,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,84,0,29,0,0
Trent Sherfield,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,24,1,12,0,0
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,1,17,0,0
Deonte Harty,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Gabriel Davis,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Tua Tagovailoa,MIA,17,27,173,1,2,0,0,24,62.7,1,7,0,7,0,0,0,0,0,0,0
De'Von Achane,MIA,0,0,0,0,0,1,6,0,,10,56,1,25,1,1,5,0,5,0,0
Jeff Wilson,MIA,0,0,0,0,0,0,0,0,,9,45,0,13,0,0,0,0,0,0,0
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,82,1,23,0,0
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,30,0,14,0,0
Cedrick Wilson Jr.,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,24,0,24,0,0
River Cracraft,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,18,0,18,0,0
Braxton Berrios,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,7,0,0
Chase Claypool,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Julian Hill,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,2,0,2,0,0
