Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Dak Prescott,DAL,31,36,279,4,1,0,0,32,124.4,0,0,0,0,0,0,0,0,0,0,0
Cooper Rush,DAL,3,4,30,0,0,0,0,24,95.8,0,0,0,0,0,0,0,0,0,0,0
Tony Pollard,DAL,0,0,0,0,0,0,0,0,,17,70,1,12,2,2,16,0,12,0,0
Rico Dowdle,DAL,0,0,0,0,0,0,0,0,,9,46,0,20,4,3,54,0,32,0,0
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,1,7,0,7,13,13,98,2,15,0,0
KaVontae Turpin,DAL,0,0,0,0,0,0,0,0,,1,5,0,5,0,0,0,0,0,0,0
Brandin Cooks,DAL,0,0,0,0,0,0,0,0,,1,3,0,3,8,6,39,1,15,0,0
Jake Ferguson,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,69,0,16,0,0
Peyton Hendershot,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,24,0,24,0,0
Jalen Tolbert,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,8,1,5,0,0
Jalen Brooks,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
Michael Gallup,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Sam Howell,WAS,19,27,153,1,2,4,27,19,65.8,4,-1,0,4,1,1,4,0,4,0,0
Dyami Brown,WAS,1,1,4,0,0,0,0,4,83.3,0,0,0,0,0,0,0,0,0,0,0
Brian Robinson Jr.,WAS,0,0,0,0,0,0,0,0,,9,25,0,9,3,3,10,1,11,1,1
Curtis Samuel,WAS,0,0,0,0,0,0,0,0,,1,15,0,15,4,2,15,0,9,0,0
Antonio Gibson,WAS,0,0,0,0,0,0,0,0,,2,8,0,6,4,3,28,0,13,0,0
Derrick Gore,WAS,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,56,0,19,0,0
Jahan Dotson,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,17,0,11,0,0
Alex Armah,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Logan Thomas,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
Jamison Crowder,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
John Bates,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
