Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Derek Carr,NOR,21,36,228,0,1,4,29,45,65.5,3,-4,0,-1,0,0,0,0,0,0,0
Taysom Hill,NOR,1,1,8,0,0,0,0,8,100.0,9,75,0,19,2,1,-1,0,-1,0,0
Tony Jones,NOR,0,0,0,0,0,0,0,0,,12,34,2,6,2,0,0,0,0,0,0
Jamaal Williams,NOR,0,0,0,0,0,0,0,0,,9,29,0,7,0,0,0,0,0,0,0
Chris Olave,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,86,0,42,0,0
Rashid Shaheed,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,63,0,45,0,0
Michael Thomas,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,55,0,19,0,0
Foster Moreau,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,0,14,0,0
Juwan Johnson,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,8,0,0
Keith Kirkwood,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Bryce Young,CAR,22,33,153,1,0,4,14,22,87.1,2,34,0,26,0,0,0,0,0,1,1
Miles Sanders,CAR,0,0,0,0,0,0,0,0,,14,43,0,13,5,3,4,0,7,0,0
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,2,16,0,14,5,5,34,0,11,0,0
Laviska Shenault Jr.,CAR,0,0,0,0,0,0,0,0,,1,7,0,7,0,0,0,0,0,0,0
Adam Thielen,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,54,1,15,0,0
Jonathan Mingo,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,26,0,22,0,0
Hayden Hurst,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,20,0,9,0,0
DJ Chark,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
