Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Kenny Pickett,PIT,15,23,114,0,1,3,21,32,59.0,2,9,0,8,0,0,0,0,0,0,0
Mitchell Trubisky,PIT,3,5,18,0,0,0,0,8,67.1,0,0,0,0,0,0,0,0,0,0,0
Najee Harris,PIT,0,0,0,0,0,0,0,0,,14,71,0,23,2,1,32,0,32,0,0
Jaylen Warren,PIT,0,0,0,0,0,0,0,0,,8,29,0,18,6,6,26,0,7,1,0
Calvin Austin,PIT,0,0,0,0,0,0,0,0,,1,5,0,5,5,3,24,0,12,0,0
George Pickens,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,25,0,17,1,0
Darnell Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Allen Robinson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,7,0,9,0,0
C.J. Stroud,HOU,16,30,306,2,0,0,0,52,111.2,4,16,0,11,0,0,0,0,0,0,0
Devin Singletary,HOU,1,1,6,1,0,0,0,6,131.2,7,25,0,9,1,1,11,0,11,0,0
Dameon Pierce,HOU,0,0,0,0,0,0,0,0,,24,81,0,13,2,1,27,0,27,0,0
Tank Dell,HOU,0,0,0,0,0,0,0,0,,2,13,0,7,3,1,16,0,16,1,0
Mike Boone,HOU,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,1,0
Nico Collins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,168,2,52,0,0
Dalton Schultz,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,42,1,29,0,0
Robert Woods,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,26,0,13,0,0
John Metchie,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,22,0,22,0,0
Andrew Beck,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
