Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jalen Hurts,PHI,25,38,303,1,1,1,8,49,87.9,15,72,1,17,0,0,0,0,0,0,0
D'Andre Swift,PHI,0,0,0,0,0,0,0,0,,17,70,0,17,6,6,38,0,9,0,0
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,7,17,0,4,2,1,7,0,7,0,0
A.J. Brown,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,127,0,38,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,117,1,49,0,0
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,6,0,6,0,0
Jack Stoll,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Quez Watkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,4,0,5,0,0
Matthew Stafford,LAR,21,37,222,2,0,4,27,39,92.4,0,0,0,0,0,0,0,0,0,0,0
Kyren Williams,LAR,0,0,0,0,0,0,0,0,,13,53,0,11,2,2,4,0,7,0,0
Ronnie Rivers,LAR,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,118,0,39,0,0
Puka Nacua,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,71,1,22,1,0
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,20,0,12,0,0
Tutu Atwell,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,9,1,6,0,0
Ben Skowronek,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
