Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Josh McCown,NYJ,26,39,187,0,2,1,11,25,56.2,2,0,1,,0,0,0,0,,0,0
Bilal Powell,NYJ,0,0,0,0,0,0,0,0,,7,22,0,11,6,5,17,0,8,0,0
Matt Forte,NYJ,0,0,0,0,0,0,0,0,,6,16,0,8,5,3,20,0,12,0,0
Jermaine Kearse,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,59,0,18,0,0
Will Tye,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,34,0,21,0,0
Eric Tomlinson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,0,25,0,0
Robbie Chosen,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,22,0,11,0,0
ArDarius Stewart,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,10,0,8,0,0
Tyrod Taylor,BUF,16,28,224,2,1,2,6,47,92.0,8,38,0,,0,0,0,0,,0,0
LeSean McCoy,BUF,0,0,0,0,0,0,0,0,,22,110,0,27,6,5,49,0,21,0,0
Mike Tolbert,BUF,0,0,0,0,0,0,0,0,,12,42,1,16,1,1,12,0,12,0,0
Jordan Matthews,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,61,0,47,0,0
Charles Clay,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,53,1,35,0,0
Nick O'Leary,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,22,0,22,0,0
Zay Jones,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,21,0,21,0,0
Patrick DiMarco,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Andre Holmes,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
