Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
D.J. Swearinger,WAS,1,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
Ryan Kerrigan,WAS,0,0,0,0,0,1.0,4,4,0,1,1,0,0,0,0
Anthony Lanier,WAS,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
Kendall Fuller,WAS,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Josh Norman,WAS,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Martrell Spaight,WAS,0,0,0,0,1,0.0,7,3,4,1,1,0,0,0,0
DeAngelo Hall,WAS,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Zach Brown,WAS,0,0,0,0,1,0.0,5,5,0,1,0,0,0,0,0
Montae Nicholson,WAS,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Preston Smith,WAS,0,0,0,0,0,0.0,4,3,1,1,1,0,0,0,0
Bashaud Breeland,WAS,0,0,0,0,3,0.0,3,3,0,0,0,0,0,0,0
Josh Harvey-Clemons,WAS,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Evander Hood,WAS,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Zach Vigil,WAS,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Ryan Anderson,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Joshua Holsey,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Stacy McGee,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Junior Galette,WAS,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
Matthew Ioannidis,WAS,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Morgan Moses,WAS,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Vonn Bell,NOR,0,0,0,0,0,1.0,13,10,3,0,1,0,0,0,1
Cameron Jordan,NOR,0,0,0,0,0,1.0,4,4,0,2,1,0,0,0,0
P.J. Williams,NOR,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Marcus Williams,NOR,0,0,0,0,1,0.0,7,6,1,0,0,0,0,0,0
Alex Okafor,NOR,0,0,0,0,0,0.0,6,1,5,0,1,0,0,0,0
Michael Mauti,NOR,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0
Manti Te'o,NOR,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Rafael Bush,NOR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
De'Vante Harris,NOR,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Craig Robertson,NOR,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0
Ken Crawley,NOR,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Tyeler Davison,NOR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Sheldon Rankins,NOR,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Trey Hendrickson,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
David Onyemata,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Marshon Lattimore,NOR,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
