Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Jackrabbit Jenkins,NYG,1,53,1,53,2,0.0,0,0,0,0,0,0,0,0,0
Jason Pierre-Paul,NYG,0,0,0,0,1,2.0,5,3,2,2,2,0,0,0,0
Olivier Vernon,NYG,0,0,0,0,0,1.5,5,3,2,2,2,0,0,0,0
Devon Kennard,NYG,0,0,0,0,0,1.0,4,2,2,1,1,0,0,0,0
Dalvin Tomlinson,NYG,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Damon Harrison,NYG,0,0,0,0,0,0.5,3,2,1,0,1,0,0,0,0
Landon Collins,NYG,0,0,0,0,0,0.0,15,13,2,1,0,0,0,0,0
Kelvin Sheppard,NYG,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Jonathan Casillas,NYG,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Ross Cockrell,NYG,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Jay Bromley,NYG,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
Darian Thompson,NYG,0,0,0,0,2,0.0,3,1,2,0,0,0,0,0,0
Andrew Adams,NYG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Nat Berhe,NYG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Donte Deayon,NYG,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Curtis Grant,NYG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Robert Thomas,NYG,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Wayne Gallman,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Paul Perkins,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jon Halapio,NYG,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Kendall Fuller,WAS,1,1,0,1,1,0.0,0,0,0,0,0,0,0,0,0
Ryan Kerrigan,WAS,0,0,0,0,0,2.0,5,3,2,2,2,0,0,0,0
Anthony Lanier,WAS,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Junior Galette,WAS,0,0,0,0,0,1.0,1,1,0,0,2,0,0,0,1
Zach Brown,WAS,0,0,0,0,1,0.0,9,6,3,1,0,0,0,0,0
Deshazor Everett,WAS,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Stacy McGee,WAS,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Evander Hood,WAS,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
D.J. Swearinger,WAS,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Zach Vigil,WAS,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Bashaud Breeland,WAS,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0,0
Quinton Dunbar,WAS,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
A.J. Francis,WAS,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Josh Harvey-Clemons,WAS,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Pete Robertson,WAS,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Ryan Anderson,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Matthew Ioannidis,WAS,0,0,0,0,0,0.0,1,0,1,0,2,0,0,0,0
Josh Norman,WAS,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
