Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Tom Brady,NWE,24,43,233,1,2,2,10,38,59.5,0,0,0,,0,0,0,0,,0,0
Dion Lewis,NWE,0,0,0,0,0,0,0,0,,5,17,0,11,5,5,50,0,20,0,0
Rex Burkhead,NWE,0,0,0,0,0,0,0,0,,5,8,1,3,5,5,45,0,23,0,0
Danny Amendola,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,76,0,26,0,0
Brandin Cooks,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,1,38,0,38,0,0
James White,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,11,1,7,0,0
Dwayne Allen,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,10,0,8,0,0
James Develin,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Chris Hogan,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,1,0,1,0,0
Jay Cutler,MIA,25,38,263,3,0,2,21,47,112.1,4,4,0,,0,0,0,0,,0,0
Kenyan Drake,MIA,0,0,0,0,0,0,0,0,,25,114,0,31,6,5,79,0,47,0,0
MarQueis Gray,MIA,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,10,0,10,0,0
Jarvis Landry,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,8,8,46,2,10,0,0
Jakeem Grant,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,42,1,25,0,0
DeVante Parker,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,40,0,15,0,0
Kenny Stills,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,18,0,11,0,0
Anthony Fasano,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0
Julius Thomas,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,11,0,6,1,0
