Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Patrick Robinson,PHI,0,0,0,0,1,1.0,3,3,0,0,0,0,0,0,0
Chris Long,PHI,0,0,0,0,0,1.0,2,2,0,0,1,0,0,0,1
Nigel Bradham,PHI,0,0,0,0,2,0.0,6,6,0,1,0,0,0,0,1
Ronald Darby,PHI,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
Fletcher Cox,PHI,0,0,0,0,0,0.0,4,2,2,0,3,0,0,0,0
Rodney McLeod,PHI,0,0,0,0,0,0.0,4,4,0,0,0,1,9,0,0
Malcolm Jenkins,PHI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Beau Allen,PHI,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Corey Graham,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Nathan Gerry,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Shelton Gibson,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Najee Goode,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kamu Grugier-Hill,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Timmy Jernigan,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Mychal Kendricks,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Vinny Curry,PHI,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
Nick Foles,PHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Brandon Graham,PHI,0,0,0,0,0,0.0,0,0,0,0,0,1,16,1,0
Kayvon Webster,LAR,1,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Michael Brockers,LAR,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
Robert Quinn,LAR,0,0,0,0,0,1.0,2,1,1,1,2,0,0,0,0
John Johnson,LAR,0,0,0,0,2,0.0,11,7,4,0,0,0,0,0,0
Alec Ogletree,LAR,0,0,0,0,1,0.0,9,4,5,0,0,0,0,0,0
Mark Barron,LAR,0,0,0,0,0,0.0,7,7,0,2,0,0,0,0,0
Nickell Robey-Coleman,LAR,0,0,0,0,3,0.0,7,7,0,1,0,0,0,0,0
Lamarcus Joyner,LAR,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Cory Littleton,LAR,0,0,0,0,0,0.0,5,3,2,0,1,0,0,0,0
Samson Ebukam,LAR,0,0,0,0,0,0.0,4,4,0,0,1,0,0,0,0
Tyrunn Walker,LAR,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Aaron Donald,LAR,0,0,0,0,0,0.0,2,2,0,1,3,0,0,0,0
Troy Hill,LAR,0,0,0,0,0,0.0,2,2,0,,,0,0,0,0
Trumaine Johnson,LAR,0,0,0,0,3,0.0,2,2,0,0,0,0,0,0,0
Blake Countess,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Matt Longacre,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kevin Peterson,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Mike Thomas,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
