Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Harrison Smith,MIN,2,17,0,17,2,0.0,8,6,2,1,0,0,0,0,0
Trae Waynes,MIN,0,0,0,0,1,1.0,3,3,0,1,1,0,0,0,0
Eric Kendricks,MIN,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Xavier Rhodes,MIN,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Andrew Sendejo,MIN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Ben Gedeon,MIN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Danielle Hunter,MIN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Terence Newman,MIN,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Anthony Barr,MIN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Linval Joseph,MIN,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
Mackensie Alexander,MIN,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
C.J. Ham,MIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Stephen Weatherly,MIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Kentrell Brothers,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Everson Griffen,MIN,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Anthony Harris,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tom Johnson,MIN,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Jayron Kearse,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brian Robison,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Shamar Stephen,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kenny Clark,GNB,0,0,0,0,0,2.0,5,2,3,2,2,0,0,0,0
Kyler Fackrell,GNB,0,0,0,0,0,1.0,3,3,0,1,1,0,0,0,0
Blake Martinez,GNB,0,0,0,0,0,0.0,11,6,5,0,0,0,0,0,0
Jake Ryan,GNB,0,0,0,0,0,0.0,11,10,1,0,0,0,0,0,0
Josh Jones,GNB,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Josh Hawkins,GNB,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Ha Ha Clinton-Dix,GNB,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
Morgan Burnett,GNB,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Ahmad Brooks,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Dean Lowry,GNB,0,0,0,0,1,0.0,2,2,0,0,1,0,0,0,0
Lenzy Pipkins,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Vince Biegel,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Quinton Dial,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Marwin Evans,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Davon House,GNB,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Chris Odom,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Montravius Adams,GNB,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
Mike Daniels,GNB,0,0,0,0,0,0.0,0,0,0,2,2,0,0,0,0
Reggie Gilbert,GNB,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
Jermaine Whitehead,GNB,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
